Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,22.22,22.87,21.87,22.7,0.3,1.34,432408
29/01/2021,22.44,22.85,22.35,22.4,0.4,1.82,380542
28/01/2021,22.34,22.34,21.84,22,-0.34,-1.52,844157
27/01/2021,22.9,23.24,22.34,22.34,-0.56,-2.45,719084
25/01/2021,23.02,23.19,22.86,22.9,-0.05,-0.22,231651
22/01/2021,22.81,23.19,22.81,22.95,-0.09,-0.39,309023
21/01/2021,23.34,23.47,22.94,23.04,-0.02,-0.09,922049
20/01/2021,22.91,23.09,22.88,23.06,0.06,0.26,365446
19/01/2021,22.78,23.14,22.77,23,0.35,1.55,293599
18/01/2021,23.01,23.12,22.6,22.65,-0.37,-1.61,1350085
15/01/2021,22.62,23.23,22.6,23.02,0.37,1.63,426241
14/01/2021,22.8,22.85,22.5,22.65,-0.3,-1.31,525604
13/01/2021,23.05,24,22.6,22.95,0,0,870003
12/01/2021,23.01,23.41,22.87,22.95,-0.33,-1.42,556440
11/01/2021,23.79,23.94,23.15,23.28,-0.64,-2.68,327474
08/01/2021,24,24.25,23.8,23.92,-0.15,-0.62,287220
07/01/2021,23.71,24.25,23.51,24.07,0.83,3.57,356157
06/01/2021,23.49,23.73,23.125,23.24,-0.49,-2.06,305699
05/01/2021,23.4,23.73,23.19,23.73,-0.2,-0.84,248313
04/01/2021,23.23,24.07,23.08,23.93,0.58,2.48,278195
31/12/2020,23.43,23.715,23.35,23.35,-0.16,-0.68,154179
30/12/2020,23.01,23.7,23.01,23.51,0.33,1.42,289486
29/12/2020,23.2,23.36,23.02,23.18,0.08,0.35,191602
24/12/2020,23.13,23.195,22.79,23.1,0.16,0.7,120568
23/12/2020,22.82,23.17,22.8,22.94,0.32,1.41,286380
22/12/2020,22.86,23.18,22.53,22.62,-0.33,-1.44,336067
21/12/2020,22.7,23.19,22.68,22.95,0.04,0.17,391215
18/12/2020,23.65,23.79,22.89,22.91,-0.74,-3.13,990471
17/12/2020,23.83,23.97,23.42,23.65,0.13,0.55,726598
16/12/2020,23.58,23.875,23.34,23.52,0.16,0.68,577050
