Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,5.7,5.78,5.66,5.72,0,0,4951528
29/01/2021,5.8,5.88,5.7,5.72,0,0,6365334
28/01/2021,5.7,5.775,5.7,5.72,-0.01,-0.17,7929998
27/01/2021,5.88,5.88,5.73,5.73,-0.15,-2.55,7884120
25/01/2021,5.9,5.93,5.86,5.88,-0.01,-0.17,3666589
22/01/2021,5.95,6.03,5.89,5.89,-0.09,-1.51,9162353
21/01/2021,6.1,6.12,5.97,5.98,-0.09,-1.48,8981365
20/01/2021,6.18,6.27,6.06,6.07,-0.08,-1.3,6928616
19/01/2021,6.09,6.15,6.05,6.15,0.06,0.99,4920291
18/01/2021,6.12,6.16,6.08,6.09,-0.03,-0.49,3781200
15/01/2021,6.14,6.16,6.09,6.12,-0.03,-0.49,5897889
14/01/2021,6.04,6.17,6.04,6.15,0.09,1.49,7621380
13/01/2021,6.08,6.12,6.03,6.06,-0.09,-1.46,6107661
12/01/2021,6.26,6.305,6.15,6.15,-0.1,-1.6,6695021
11/01/2021,6.33,6.33,6.24,6.25,-0.07,-1.11,4769240
08/01/2021,6.27,6.32,6.24,6.32,0.05,0.8,3578525
07/01/2021,6.33,6.34,6.25,6.27,0.02,0.32,5136798
06/01/2021,6.27,6.36,6.22,6.25,-0.09,-1.42,6192169
05/01/2021,6.32,6.35,6.25,6.34,-0.07,-1.09,6157919
04/01/2021,6.41,6.43,6.33,6.41,0,0,3023058
31/12/2020,6.38,6.41,6.345,6.41,-0.04,-0.62,3193360
30/12/2020,6.49,6.53,6.39,6.45,-0.05,-0.77,3648964
29/12/2020,6.54,6.56,6.48,6.5,0.06,0.93,2546323
24/12/2020,6.49,6.53,6.43,6.44,0.09,1.42,3063427
23/12/2020,6.38,6.4,6.34,6.35,0.03,0.47,4417237
22/12/2020,6.26,6.39,6.26,6.32,-0.03,-0.47,6979187
21/12/2020,6.25,6.38,6.23,6.35,-0.05,-0.78,8494316
18/12/2020,6.55,6.55,6.37,6.4,-0.19,-2.88,20497510
