Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.95,4.13,3.94,4.1,0.11,2.76,7321225
29/01/2021,4.08,4.09,3.97,3.99,-0.03,-0.75,9526355
28/01/2021,3.99,4.08,3.97,4.02,-0.12,-2.9,7023173
27/01/2021,4.29,4.29,4.12,4.14,-0.12,-2.82,5357229
25/01/2021,4.19,4.3,4.19,4.26,0.08,1.91,5006481
22/01/2021,4.15,4.19,4.125,4.18,0.05,1.21,5224439
21/01/2021,4.14,4.17,4.12,4.13,0.01,0.24,7788651
20/01/2021,4.11,4.125,4.04,4.12,-0.01,-0.24,7876803
19/01/2021,3.98,4.14,3.98,4.13,0.19,4.82,8719392
18/01/2021,3.99,4,3.925,3.94,-0.04,-1.01,4478683
15/01/2021,3.96,4.02,3.96,3.98,-0.02,-0.5,8182572
14/01/2021,3.99,4.02,3.965,4,-0.01,-0.25,3058672
13/01/2021,3.96,4.02,3.95,4.01,0.03,0.75,3531696
12/01/2021,4.06,4.06,3.97,3.98,-0.04,-1,3883737
11/01/2021,4.07,4.08,4.01,4.02,-0.04,-0.99,2405426
08/01/2021,4.03,4.07,3.995,4.06,0.02,0.5,4047063
07/01/2021,3.99,4.04,3.96,4.04,0.11,2.8,5570199
06/01/2021,3.92,4.01,3.915,3.93,-0.01,-0.25,4703256
05/01/2021,3.9,3.99,3.9,3.94,-0.05,-1.25,4788455
04/01/2021,3.9,4,3.89,3.99,0.09,2.31,4064682
31/12/2020,4,4.03,3.9,3.9,-0.12,-2.99,2481382
30/12/2020,4,4.03,4,4.02,-0.02,-0.5,3013014
29/12/2020,4.05,4.06,3.99,4.04,0.03,0.75,2398334
24/12/2020,4,4.025,3.98,4.01,0.04,1.01,2466331
23/12/2020,3.96,3.99,3.93,3.97,0.04,1.02,7575267
22/12/2020,3.9,3.93,3.89,3.93,-0.01,-0.25,5162453
21/12/2020,3.93,3.96,3.89,3.94,-0.06,-1.5,4591246
18/12/2020,3.98,4.02,3.93,4,-0.02,-0.5,11691505
