Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,13,13.35,12.98,13.24,0,0,6196192
29/01/2021,13.35,13.51,13.15,13.24,0.18,1.38,7841718
28/01/2021,13.03,13.13,12.91,13.06,-0.16,-1.21,6200094
27/01/2021,13.21,13.26,13.065,13.22,0.09,0.69,5481442
25/01/2021,13.39,13.39,13.09,13.13,-0.27,-2.01,3865404
22/01/2021,13.6,13.62,13.39,13.4,-0.21,-1.54,5777890
21/01/2021,13.73,13.8,13.48,13.61,0.13,0.96,6630007
20/01/2021,13.29,13.595,13.26,13.48,0.54,4.17,10563674
19/01/2021,12.87,13.05,12.84,12.94,0.15,1.17,3921535
18/01/2021,12.96,12.99,12.79,12.79,-0.05,-0.39,4715916
15/01/2021,12.89,12.93,12.8,12.84,-0.08,-0.62,5439781
14/01/2021,12.9,12.98,12.81,12.92,0.19,1.49,5838369
13/01/2021,12.81,12.86,12.64,12.73,-0.22,-1.7,5775673
12/01/2021,13.09,13.21,12.95,12.95,-0.13,-0.99,5861015
11/01/2021,13.38,13.38,13.065,13.08,-0.25,-1.88,4637388
08/01/2021,13.25,13.37,13.25,13.33,0.06,0.45,5656468
07/01/2021,13.3,13.38,13.21,13.27,-0.05,-0.38,6920208
06/01/2021,13.37,13.45,13.27,13.32,-0.17,-1.26,5378214
05/01/2021,13.51,13.62,13.37,13.49,-0.22,-1.6,4563639
04/01/2021,13.69,13.71,13.58,13.71,0.05,0.37,2372656
31/12/2020,13.74,13.78,13.57,13.66,-0.15,-1.09,2656304
30/12/2020,13.91,14.06,13.71,13.81,-0.34,-2.4,3430867
29/12/2020,14.28,14.3,14.1,14.15,0.07,0.5,1868876
24/12/2020,14.04,14.17,14.04,14.08,0.15,1.08,1690319
23/12/2020,13.94,14.03,13.76,13.93,0.06,0.43,3226786
22/12/2020,13.98,14.07,13.82,13.87,-0.13,-0.93,2997295
21/12/2020,14.1,14.1,13.91,14,-0.15,-1.06,3808662
18/12/2020,14.45,14.45,14.05,14.15,-0.12,-0.84,10997885
17/12/2020,14.19,14.27,13.94,14.27,0.17,1.21,12940277
16/12/2020,14,14.17,13.88,14.1,0.2,1.44,4918834
15/12/2020,13.79,14.01,13.77,13.9,0.15,1.09,11172957
14/12/2020,13.72,13.92,13.705,13.75,0.11,0.81,5567798
11/12/2020,13.66,13.755,13.53,13.64,-0.19,-1.37,10055204
10/12/2020,14.05,14.06,13.8,13.83,-0.17,-1.21,5609946
09/12/2020,13.99,14.09,13.91,14,0.03,0.21,5163893
08/12/2020,14.1,14.16,13.97,13.97,0.1,0.72,8869679
07/12/2020,14.08,14.09,13.87,13.87,-0.02,-0.14,4615966
04/12/2020,14,14.045,13.89,13.89,0.03,0.22,3858067
03/12/2020,13.92,14.06,13.82,13.86,-0.17,-1.21,6902587
02/12/2020,14.03,14.12,13.865,14.03,0.02,0.14,10869909
01/12/2020,14.02,14.225,13.87,14.01,-0.01,-0.07,15950184
30/11/2020,14.21,14.42,14.02,14.02,-0.14,-0.99,22626981
27/11/2020,14.3,14.39,14.13,14.16,-0.08,-0.56,4949977
26/11/2020,14.58,14.6,14.22,14.24,-0.21,-1.45,4815664
25/11/2020,14.79,14.88,14.42,14.45,-0.2,-1.37,7763002
24/11/2020,14.74,14.83,14.58,14.65,-0.12,-0.81,4586788
23/11/2020,15.08,15.09,14.76,14.77,-0.2,-1.34,3883635
20/11/2020,14.95,15.05,14.88,14.97,-0.04,-0.27,4790688
19/11/2020,15.2,15.3,14.89,15.01,-0.02,-0.13,8267818
18/11/2020,14.96,15.1,14.81,15.03,0.23,1.55,7358893
17/11/2020,15,15.03,14.68,14.8,-0.28,-1.86,11161760
16/11/2020,15.09,15.24,15.02,15.08,-0.18,-1.18,99285
13/11/2020,15.38,15.43,15.17,15.26,-0.14,-0.91,5982204
12/11/2020,15.46,15.56,15.195,15.4,-0.17,-1.09,7931410
11/11/2020,15.3,15.635,15.27,15.57,0.61,4.08,8988972
10/11/2020,14.95,15.34,14.87,14.96,0.53,3.67,9404020
09/11/2020,14.2,14.44,14.17,14.43,0.29,2.05,6038684
06/11/2020,14.03,14.155,13.89,14.14,0.19,1.36,4657390
05/11/2020,13.96,14.12,13.89,13.95,0.17,1.23,5166488
