Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.46,3.47,3.4,3.42,-0.06,-1.72,1233445
29/01/2021,3.5,3.53,3.43,3.48,0,0,1418337
28/01/2021,3.46,3.62,3.42,3.48,0.1,2.96,3339635
27/01/2021,3.42,3.45,3.38,3.38,0,0,1353965
25/01/2021,3.38,3.43,3.35,3.38,0.03,0.9,921620
22/01/2021,3.42,3.42,3.35,3.35,-0.02,-0.59,935018
21/01/2021,3.41,3.44,3.37,3.37,-0.05,-1.46,1108333
20/01/2021,3.39,3.43,3.38,3.42,0.04,1.18,1023695
19/01/2021,3.32,3.4,3.32,3.38,0.06,1.81,1265163
18/01/2021,3.35,3.37,3.32,3.32,-0.03,-0.9,642495
15/01/2021,3.37,3.39,3.35,3.35,-0.03,-0.89,1116728
14/01/2021,3.4,3.41,3.36,3.38,0.01,0.3,523608
13/01/2021,3.39,3.41,3.36,3.37,-0.02,-0.59,671558
12/01/2021,3.4,3.44,3.39,3.39,-0.02,-0.59,771538
11/01/2021,3.44,3.45,3.41,3.41,-0.02,-0.58,723533
08/01/2021,3.42,3.44,3.4,3.43,0.02,0.59,694419
07/01/2021,3.4,3.43,3.4,3.41,0.04,1.19,884383
06/01/2021,3.41,3.43,3.37,3.37,-0.02,-0.59,905447
05/01/2021,3.39,3.42,3.36,3.39,0.01,0.3,784879
04/01/2021,3.4,3.41,3.36,3.38,0.02,0.6,746833
31/12/2020,3.42,3.44,3.36,3.36,-0.05,-1.47,764001
30/12/2020,3.41,3.43,3.37,3.41,0.01,0.29,1139971
29/12/2020,3.4,3.42,3.38,3.4,0.05,1.49,875190
24/12/2020,3.39,3.4,3.35,3.35,0.01,0.3,481512
23/12/2020,3.32,3.39,3.31,3.34,0.03,0.91,1246317
22/12/2020,3.35,3.36,3.31,3.31,-0.04,-1.19,1104717
21/12/2020,3.42,3.44,3.35,3.35,-0.08,-2.33,2130221
18/12/2020,3.5,3.52,3.42,3.43,-0.08,-2.28,2549202
17/12/2020,3.51,3.56,3.5,3.51,-0.01,-0.28,1212066
16/12/2020,3.65,3.66,3.46,3.52,-0.13,-3.56,4214649
15/12/2020,3.67,3.67,3.6,3.65,0,0,2191159
14/12/2020,3.49,3.69,3.49,3.65,0.2,5.8,4033866
11/12/2020,3.51,3.53,3.45,3.45,-0.06,-1.71,1944904
10/12/2020,3.52,3.56,3.51,3.51,-0.01,-0.28,1018391
09/12/2020,3.51,3.57,3.5,3.52,0.02,0.57,1591565
08/12/2020,3.52,3.53,3.5,3.5,-0.03,-0.85,1341655
07/12/2020,3.56,3.57,3.51,3.53,0.02,0.57,1536293
04/12/2020,3.55,3.565,3.5,3.51,-0.01,-0.28,3033355
03/12/2020,3.6,3.62,3.52,3.52,-0.04,-1.12,1596315
02/12/2020,3.6,3.63,3.56,3.56,-0.08,-2.2,1651258
01/12/2020,3.63,3.69,3.63,3.64,0.01,0.28,1307931
30/11/2020,3.66,3.74,3.63,3.63,-0.03,-0.82,1651043
27/11/2020,3.67,3.69,3.64,3.66,0.01,0.27,721462
26/11/2020,3.63,3.68,3.63,3.65,0.02,0.55,722389
25/11/2020,3.69,3.69,3.6,3.63,-0.07,-1.89,1589520
24/11/2020,3.66,3.71,3.64,3.7,0.04,1.09,891748
23/11/2020,3.65,3.67,3.63,3.66,0.02,0.55,885678
20/11/2020,3.69,3.69,3.62,3.64,-0.02,-0.55,861813
19/11/2020,3.68,3.69,3.63,3.66,-0.02,-0.54,900088
18/11/2020,3.76,3.76,3.67,3.68,-0.1,-2.65,1211998
17/11/2020,3.69,3.8,3.69,3.78,0.1,2.72,2440229
16/11/2020,3.63,3.69,3.63,3.68,0.06,1.66,76191
13/11/2020,3.71,3.73,3.59,3.62,-0.05,-1.36,1258571
12/11/2020,3.72,3.72,3.655,3.67,-0.05,-1.34,1013143
11/11/2020,3.74,3.78,3.68,3.72,-0.02,-0.53,1291221
10/11/2020,3.61,3.74,3.61,3.74,0.19,5.35,1277582
09/11/2020,3.6,3.6,3.52,3.55,0,0,1072348
06/11/2020,3.57,3.58,3.51,3.55,0,0,1028584
05/11/2020,3.52,3.55,3.49,3.55,0.05,1.43,1009162
04/11/2020,3.53,3.53,3.47,3.5,-0.01,-0.28,936792
03/11/2020,3.51,3.56,3.51,3.51,-0.02,-0.57,1122576
02/11/2020,3.55,3.57,3.52,3.53,-0.01,-0.28,756941
30/10/2020,3.64,3.65,3.53,3.54,-0.09,-2.48,3234548
29/10/2020,3.7,3.7,3.61,3.63,-0.09,-2.42,2347890
28/10/2020,3.72,3.74,3.68,3.72,-0.04,-1.06,954912
27/10/2020,3.75,3.77,3.72,3.76,-0.03,-0.79,1473296
26/10/2020,3.73,3.82,3.71,3.79,0.05,1.34,1170873
23/10/2020,3.72,3.74,3.69,3.74,0.02,0.54,1529170
22/10/2020,3.67,3.74,3.66,3.72,0.01,0.27,752232
21/10/2020,3.68,3.71,3.66,3.71,0.03,0.82,563473
20/10/2020,3.7,3.71,3.67,3.68,-0.03,-0.81,778822
19/10/2020,3.73,3.75,3.695,3.71,-0.01,-0.27,628342
16/10/2020,3.73,3.73,3.685,3.72,0.02,0.54,931480
