Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.12,3.16,3.09,3.16,0.04,1.28,35744816
29/01/2021,3.13,3.14,3.1,3.12,0.02,0.65,29818496
28/01/2021,3.11,3.12,3.07,3.1,-0.04,-1.27,32056881
27/01/2021,3.22,3.23,3.13,3.14,-0.07,-2.18,42570641
25/01/2021,3.2,3.23,3.19,3.21,0.01,0.31,24834361
22/01/2021,3.17,3.2,3.16,3.2,0.03,0.95,29547560
21/01/2021,3.16,3.17,3.15,3.17,0.02,0.63,26215142
20/01/2021,3.13,3.16,3.125,3.15,0.01,0.32,28145235
19/01/2021,3.11,3.14,3.09,3.14,0.04,1.29,25684038
18/01/2021,3.11,3.115,3.08,3.1,-0.02,-0.64,18451954
15/01/2021,3.09,3.13,3.08,3.12,0.03,0.97,32818550
14/01/2021,3.09,3.1,3.06,3.09,0,0,30482968
13/01/2021,3.02,3.09,3.015,3.09,0.08,2.66,29300796
12/01/2021,3.01,3.03,3,3.01,0.01,0.33,17824960
11/01/2021,3.02,3.03,3,3,-0.02,-0.66,18738487
08/01/2021,3.02,3.03,3.01,3.02,0.01,0.33,13760540
07/01/2021,3.04,3.04,3,3.01,0,0,22568897
06/01/2021,3.03,3.04,3.01,3.01,-0.03,-0.99,20622292
05/01/2021,3.01,3.04,3,3.04,0.03,1,25352912
04/01/2021,3,3.01,2.985,3.01,0.03,1.01,12215017
31/12/2020,3,3.01,2.98,2.98,-0.02,-0.67,11329665
30/12/2020,3.02,3.03,3,3,-0.02,-0.66,10484510
29/12/2020,3.03,3.03,3.01,3.02,0.01,0.33,7486731
24/12/2020,3.02,3.035,3.01,3.01,0,0,5207061
23/12/2020,3.01,3.03,3.005,3.01,0.01,0.33,15368805
22/12/2020,3.02,3.03,3,3,-0.03,-0.99,20062773
21/12/2020,3.03,3.035,3.01,3.03,0,0,16142339
18/12/2020,3.04,3.04,3.02,3.03,-0.02,-0.66,39198063
17/12/2020,3.03,3.05,3.03,3.05,0.03,0.99,30017774
16/12/2020,3.03,3.05,3.02,3.02,0,0,28561240
15/12/2020,3.03,3.04,3.02,3.02,-0.01,-0.33,23582724
14/12/2020,3.04,3.06,3.03,3.03,0,0,23253417
11/12/2020,3.03,3.055,3.03,3.03,-0.01,-0.33,27614583
10/12/2020,3.04,3.06,3.03,3.04,-0.03,-0.98,28243558
09/12/2020,3.05,3.08,3.05,3.07,0.03,0.99,24388925
08/12/2020,3.05,3.07,3.04,3.04,-0.02,-0.65,26766952
07/12/2020,3.08,3.085,3.05,3.06,0.01,0.33,23141943
04/12/2020,3.02,3.07,3.02,3.05,0.02,0.66,27095701
03/12/2020,3.06,3.07,3.02,3.03,-0.02,-0.66,27796733
02/12/2020,3.09,3.09,3.04,3.05,-0.03,-0.97,43026286
01/12/2020,3.09,3.11,3.065,3.08,0.01,0.33,36227009
30/11/2020,3.12,3.13,3.07,3.07,-0.04,-1.29,48268158
27/11/2020,3.11,3.13,3.1,3.11,0,0,22800942
26/11/2020,3.11,3.13,3.09,3.11,0.01,0.32,28670940
25/11/2020,3.13,3.14,3.1,3.1,-0.02,-0.64,41814506
24/11/2020,3.09,3.14,3.085,3.12,0.04,1.3,33199843
23/11/2020,3.1,3.11,3.08,3.08,-0.01,-0.32,22012516
20/11/2020,3.11,3.12,3.08,3.09,-0.01,-0.32,30100043
19/11/2020,3.09,3.1,3.05,3.1,0.02,0.65,37409230
18/11/2020,3.13,3.14,3.05,3.08,-0.04,-1.28,37478148
17/11/2020,3.16,3.16,3.09,3.12,-0.05,-1.58,51513592
16/11/2020,3.15,3.2,3.14,3.17,0.04,1.28,4164152
13/11/2020,3.08,3.14,3.08,3.13,0.05,1.62,55145670
