Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,8.66,8.7,8.49,8.54,-0.09,-1.04,2079778
29/01/2021,8.5,8.725,8.47,8.63,0.27,3.23,2685165
28/01/2021,8.28,8.485,8.28,8.36,0.13,1.58,2250297
27/01/2021,8.15,8.245,8.1,8.23,0.1,1.23,1822208
25/01/2021,8.12,8.165,8.05,8.13,0.01,0.12,571187
22/01/2021,8.11,8.215,8.05,8.12,0.01,0.12,2325382
21/01/2021,8.18,8.19,8.08,8.11,0.1,1.25,6175275
20/01/2021,8.18,8.3,8.01,8.01,0.18,2.3,1950143
19/01/2021,7.68,7.95,7.66,7.83,0.19,2.49,4827561
18/01/2021,7.64,7.71,7.6,7.64,-0.02,-0.26,1403006
15/01/2021,7.75,7.79,7.65,7.66,-0.15,-1.92,1084536
14/01/2021,7.75,7.85,7.7,7.81,0.16,2.09,1824526
13/01/2021,7.8,7.82,7.65,7.65,-0.13,-1.67,1866928
12/01/2021,7.77,7.79,7.69,7.78,-0.02,-0.26,1804252
11/01/2021,7.96,8.01,7.71,7.8,-0.16,-2.01,2116491
08/01/2021,7.98,8.05,7.89,7.96,0.16,2.05,1091780
07/01/2021,7.9,7.99,7.71,7.8,-0.11,-1.39,1225262
06/01/2021,8.04,8.15,7.89,7.91,-0.24,-2.94,1093162
05/01/2021,8.1,8.19,8.07,8.15,-0.06,-0.73,1040497
04/01/2021,8.2,8.24,8.15,8.21,0.01,0.12,998174
31/12/2020,8.25,8.32,8.15,8.2,-0.08,-0.97,643927
30/12/2020,8.32,8.44,8.23,8.28,-0.04,-0.48,787371
29/12/2020,8.41,8.43,8.26,8.32,-0.01,-0.12,587724
24/12/2020,8.43,8.49,8.29,8.33,-0.01,-0.12,432846
23/12/2020,8.5,8.55,8.27,8.34,0.02,0.24,1214092
22/12/2020,8.39,8.39,8.25,8.32,-0.04,-0.48,1031719
21/12/2020,8.3,8.41,8.28,8.36,0.13,1.58,1071646
18/12/2020,8.15,8.325,8.06,8.23,0.01,0.12,2849765
17/12/2020,8.29,8.35,8.17,8.22,0,0,1777190
16/12/2020,8.33,8.34,8.2,8.22,-0.03,-0.36,2047134
15/12/2020,8.4,8.44,8.2,8.25,-0.05,-0.6,2782714
14/12/2020,8.47,8.58,8.28,8.3,-0.03,-0.36,1371179
11/12/2020,8.45,8.56,8.28,8.33,-0.16,-1.88,979929
10/12/2020,8.62,8.72,8.44,8.49,-0.25,-2.86,1827918
09/12/2020,8.75,8.83,8.715,8.74,-0.05,-0.57,917109
08/12/2020,8.76,8.89,8.74,8.79,0.09,1.03,1352765
07/12/2020,9.1,9.11,8.7,8.7,-0.26,-2.9,1712409
04/12/2020,9.01,9.05,8.92,8.96,-0.07,-0.78,751408
03/12/2020,8.98,9.11,8.93,9.03,-0.08,-0.88,1396408
02/12/2020,9.15,9.22,9.07,9.11,-0.17,-1.83,1290944
01/12/2020,9.24,9.35,9.11,9.28,0.1,1.09,1558977
30/11/2020,9.4,9.4,9.14,9.18,-0.02,-0.22,1906617
27/11/2020,9.5,9.54,9.13,9.2,-0.36,-3.77,1452428
26/11/2020,9.17,9.565,9.14,9.56,0.51,5.64,1790552
25/11/2020,9.03,9.1,8.87,9.05,0.01,0.11,4276420
24/11/2020,9.14,9.27,8.81,9.04,0.04,0.44,2614682
23/11/2020,8.92,9.04,8.91,9,0.2,2.27,1329836
20/11/2020,8.69,8.88,8.69,8.8,0.06,0.69,821857
19/11/2020,8.86,8.91,8.69,8.74,-0.07,-0.79,1287751
18/11/2020,8.69,8.88,8.67,8.81,0.18,2.09,1434033
