Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,7.4,7.48,7.3,7.47,0.07,0.95,598491
29/01/2021,7.43,7.48,7.4,7.4,-0.03,-0.4,1809050
28/01/2021,7.46,7.51,7.37,7.43,-0.11,-1.46,3390664
27/01/2021,7.51,7.54,7.4,7.54,0.04,0.53,4334859
25/01/2021,7.44,7.55,7.4,7.5,0.05,0.67,879073
22/01/2021,7.3,7.49,7.29,7.45,0.15,2.05,903884
21/01/2021,7.28,7.35,7.27,7.3,-0.01,-0.14,773128
20/01/2021,7.23,7.31,7.15,7.31,0.03,0.41,720875
19/01/2021,7.15,7.34,7.15,7.28,0.08,1.11,1099827
18/01/2021,7.15,7.23,7.14,7.2,0.04,0.56,660603
15/01/2021,7.02,7.19,6.995,7.16,0.15,2.14,939855
14/01/2021,6.98,7.05,6.92,7.01,0.03,0.43,519304
13/01/2021,6.9,6.98,6.9,6.98,0.03,0.43,717580
12/01/2021,6.93,6.97,6.9,6.95,0.02,0.29,453389
11/01/2021,6.91,6.95,6.84,6.93,0.04,0.58,942147
08/01/2021,6.99,7.01,6.86,6.89,-0.07,-1.01,816291
07/01/2021,7.13,7.13,6.96,6.96,-0.11,-1.56,1055659
06/01/2021,7.06,7.1,7.02,7.07,-0.01,-0.14,967713
05/01/2021,7.08,7.12,7.06,7.08,-0.02,-0.28,713630
04/01/2021,7.15,7.18,7.08,7.1,-0.12,-1.66,681216
31/12/2020,7.1,7.24,7.08,7.22,0.12,1.69,494561
30/12/2020,7.15,7.16,7.07,7.1,-0.12,-1.66,777009
29/12/2020,7.24,7.24,7.13,7.22,0.1,1.4,288807
24/12/2020,7.18,7.23,7.12,7.12,-0.03,-0.42,159502
23/12/2020,7.22,7.3,7.13,7.15,0.04,0.56,372613
22/12/2020,7.1,7.19,7.07,7.11,-0.07,-0.97,944049
21/12/2020,7.25,7.26,7.1,7.18,-0.17,-2.31,869865
18/12/2020,7.14,7.35,7.14,7.35,0.14,1.94,1752370
17/12/2020,7.12,7.21,7.12,7.21,0.07,0.98,1617897
16/12/2020,7.26,7.26,7.02,7.14,-0.11,-1.52,1967338
15/12/2020,7.21,7.28,7.11,7.25,0.07,0.97,1539493
14/12/2020,7.38,7.46,7.17,7.18,-0.11,-1.51,1343124
11/12/2020,7.34,7.43,7.27,7.29,-0.22,-2.93,1066895
10/12/2020,7.6,7.68,7.42,7.51,-0.23,-2.97,977058
09/12/2020,7.68,7.75,7.65,7.74,0.11,1.44,728285
08/12/2020,7.54,7.68,7.53,7.63,-0.01,-0.13,721708
07/12/2020,7.74,7.75,7.605,7.64,-0.08,-1.04,412689
04/12/2020,7.51,7.73,7.51,7.72,0.16,2.12,506235
03/12/2020,7.58,7.63,7.47,7.56,0,0,800732
02/12/2020,7.68,7.75,7.53,7.56,-0.11,-1.43,692202
01/12/2020,7.64,7.75,7.635,7.67,0,0,709491
30/11/2020,7.94,7.94,7.615,7.67,-0.1,-1.29,1951171
27/11/2020,7.71,7.81,7.64,7.77,0,0,543111
26/11/2020,7.78,7.83,7.7,7.77,-0.02,-0.26,620704
25/11/2020,8.06,8.1,7.79,7.79,-0.31,-3.83,692121
24/11/2020,8.12,8.23,8.03,8.1,0.03,0.37,1478352
23/11/2020,7.82,8.19,7.79,8.07,0.37,4.81,1627613
20/11/2020,7.81,7.91,7.65,7.7,0.01,0.13,873217
19/11/2020,7.56,7.69,7.545,7.69,0.04,0.52,856987
18/11/2020,7.87,7.88,7.59,7.65,-0.06,-0.78,1329386
17/11/2020,7.76,7.76,7.6,7.71,-0.17,-2.16,2339976
16/11/2020,7.85,7.92,7.83,7.88,0.16,2.07,49051
13/11/2020,7.78,7.8,7.65,7.72,0.15,1.98,925442
12/11/2020,7.8,7.83,7.56,7.57,-0.13,-1.69,608471
11/11/2020,7.71,7.82,7.61,7.7,0.04,0.52,1314324
10/11/2020,7.67,7.77,7.59,7.66,0.04,0.52,1111454
09/11/2020,7.39,7.67,7.37,7.62,0.26,3.53,1029498
06/11/2020,7.25,7.39,7.24,7.36,0.09,1.24,901113
05/11/2020,7.03,7.27,7.03,7.27,0.27,3.86,1044971
04/11/2020,7.03,7.13,6.93,7,-0.07,-0.99,2275139
03/11/2020,7.05,7.14,7.03,7.07,-0.05,-0.7,791479
02/11/2020,7.11,7.21,7.09,7.12,-0.06,-0.84,569955
30/10/2020,7.1,7.26,7.02,7.18,0.08,1.13,1346515
29/10/2020,7.04,7.15,6.97,7.1,-0.05,-0.7,727294
28/10/2020,7.02,7.2,7,7.15,0.14,2,850252
27/10/2020,7.11,7.15,7.01,7.01,-0.16,-2.23,777163
26/10/2020,7.15,7.225,7.14,7.17,0.01,0.14,420531
23/10/2020,7.19,7.21,7.095,7.16,-0.06,-0.83,958027
22/10/2020,7.25,7.31,7.2,7.22,-0.12,-1.63,4090907
21/10/2020,7.35,7.44,7.3,7.34,-0.03,-0.41,531771
20/10/2020,7.3,7.48,7.3,7.37,0,0,728263
19/10/2020,7.4,7.42,7.35,7.37,-0.11,-1.47,683551
16/10/2020,7.51,7.55,7.47,7.48,0.03,0.4,602150
15/10/2020,7.52,7.56,7.45,7.45,-0.02,-0.27,1002652
14/10/2020,7.49,7.59,7.42,7.47,-0.01,-0.13,575928
13/10/2020,7.68,7.68,7.315,7.48,-0.02,-0.27,1695031
12/10/2020,7.5,7.56,7.44,7.5,0.06,0.81,721857
09/10/2020,7.39,7.52,7.22,7.44,-0.02,-0.27,1453393
08/10/2020,7.59,7.6,7.43,7.46,-0.08,-1.06,496122
07/10/2020,7.48,7.63,7.43,7.54,0.06,0.8,638423
06/10/2020,7.42,7.5,7.35,7.48,-0.04,-0.53,565122
05/10/2020,7.42,7.53,7.35,7.52,0.22,3.01,284728
02/10/2020,7.3,7.42,7.24,7.3,-0.05,-0.68,1567350
01/10/2020,7.31,7.47,7.275,7.35,0.05,0.68,1011531
30/09/2020,7.4,7.41,7.18,7.3,-0.28,-3.69,1438273
29/09/2020,7.49,7.58,7.455,7.58,0.18,2.43,553858
28/09/2020,7.41,7.51,7.31,7.4,-0.2,-2.63,1258790
25/09/2020,7.41,7.64,7.38,7.6,0.22,2.98,1169847
24/09/2020,7.39,7.47,7.31,7.38,-0.17,-2.25,490172
23/09/2020,7.38,7.59,7.27,7.55,0.26,3.57,2063811
22/09/2020,7.1,7.31,7.05,7.29,0.17,2.39,1747856
21/09/2020,7.06,7.12,7.02,7.12,0.03,0.42,1207903
18/09/2020,7.09,7.18,7.01,7.09,0.01,0.14,2558835
17/09/2020,7.23,7.24,7.06,7.08,-0.27,-3.67,1276796
16/09/2020,7.24,7.37,7.24,7.35,0.12,1.66,1072514
15/09/2020,7.24,7.28,7.16,7.23,-0.1,-1.36,1796070
14/09/2020,7.4,7.44,7.26,7.33,-0.01,-0.14,721334
11/09/2020,7.38,7.45,7.28,7.34,-0.14,-1.87,661375
10/09/2020,7.5,7.6,7.43,7.48,-0.06,-0.8,1348222
09/09/2020,7.52,7.635,7.5,7.54,-0.19,-2.46,996196
08/09/2020,7.8,7.875,7.66,7.73,0.01,0.13,1339508
07/09/2020,7.63,7.825,7.57,7.72,-0.09,-1.15,689561
04/09/2020,7.93,7.99,7.58,7.81,-0.39,-4.76,1537287
03/09/2020,8.25,8.25,8.1,8.2,-0.01,-0.12,1452005
02/09/2020,8.1,8.25,7.96,8.21,0.22,2.75,2019709
01/09/2020,8.1,8.165,7.92,7.99,-0.24,-2.92,3305988
31/08/2020,8.13,8.27,8.07,8.23,0.09,1.11,1561754
28/08/2020,8.06,8.27,7.97,8.14,-0.12,-1.45,1667985
27/08/2020,8.2,8.41,8.01,8.26,0.07,0.85,1470433
26/08/2020,8.23,8.33,8.14,8.19,-0.02,-0.24,1651571
25/08/2020,8.3,8.32,7.89,8.21,-0.04,-0.48,2356798
24/08/2020,7.78,8.28,7.73,8.25,0.75,10,4432840
21/08/2020,7.39,7.57,7.07,7.5,0.2,2.74,4238935
20/08/2020,7.35,7.4,7.22,7.3,-0.09,-1.22,1191567
19/08/2020,7.21,7.48,7.21,7.39,0.04,0.54,1030943
18/08/2020,7.3,7.48,7.26,7.35,-0.01,-0.14,1520563
17/08/2020,7.35,7.42,7.15,7.36,-0.09,-1.21,2661458
14/08/2020,7.65,7.69,7.31,7.45,-0.25,-3.25,3467423
13/08/2020,8.05,8.08,7.54,7.7,-0.41,-5.06,3241513
12/08/2020,8.24,8.25,8.02,8.11,-0.08,-0.98,782975
11/08/2020,8.15,8.21,8.03,8.19,0.04,0.49,2454879
10/08/2020,8.18,8.18,8.05,8.15,0.05,0.62,1165963
07/08/2020,8.08,8.17,8,8.1,-0.14,-1.7,719957
06/08/2020,8.15,8.3,8.11,8.24,0.11,1.35,1573792
05/08/2020,8.22,8.24,8.03,8.13,-0.02,-0.25,2294086
04/08/2020,8.08,8.19,8.01,8.15,0.21,2.64,1489176
03/08/2020,7.9,8.01,7.89,7.94,-0.1,-1.24,873142
31/07/2020,8.04,8.15,7.88,8.04,-0.15,-1.83,1486903
30/07/2020,8.15,8.19,8.08,8.19,0.05,0.61,743867
29/07/2020,8.04,8.175,8.02,8.14,0.08,0.99,1641678
28/07/2020,8.02,8.06,7.95,8.06,0.05,0.62,918591
27/07/2020,8.01,8.08,7.88,8.01,-0.01,-0.12,1135764
24/07/2020,7.5,8.1,7.48,8.02,0.36,4.7,3144829
23/07/2020,7.85,7.88,7.65,7.66,-0.19,-2.42,1534058
22/07/2020,8,8.09,7.81,7.85,-0.04,-0.51,1268810
21/07/2020,8.12,8.19,7.82,7.89,-0.2,-2.47,1537394
20/07/2020,8.4,8.51,8.05,8.09,-0.45,-5.27,1756086
17/07/2020,8.38,8.54,8.19,8.54,0.09,1.07,1119191
16/07/2020,8.15,8.45,8.15,8.45,0.24,2.92,2539947
15/07/2020,8.29,8.4,8.01,8.21,0.18,2.24,1799530
14/07/2020,8.25,8.455,8.01,8.03,-0.22,-2.67,1060201
13/07/2020,8.67,8.67,8.1,8.25,-0.12,-1.43,843822
10/07/2020,8.92,8.92,8.31,8.37,-0.36,-4.12,505251
09/07/2020,8.76,8.87,8.565,8.73,0,0,599570
08/07/2020,8.35,9.09,8.35,8.73,-0.07,-0.8,557770
07/07/2020,8.5,8.83,8.27,8.8,0.55,6.67,963687
06/07/2020,8.55,8.66,8.2,8.25,-0.4,-4.62,985356
03/07/2020,8.83,8.85,8.65,8.65,-0.05,-0.57,793057
02/07/2020,8.81,8.81,8.53,8.7,0.15,1.75,1991790
01/07/2020,9.7,9.7,8.4,8.55,-0.35,-3.93,284174
30/06/2020,8.49,9.25,8.49,8.9,,,520614
