Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,10.27,10.27,9.83,9.86,-0.19,-1.89,7070255
29/01/2021,10.34,10.34,9.92,10.05,0.21,2.13,8296773
28/01/2021,9.49,10.18,9.45,9.84,0.55,5.92,12429901
27/01/2021,9.47,9.47,9.23,9.29,-0.02,-0.21,6772077
25/01/2021,9.5,9.5,9.29,9.31,-0.01,-0.11,2475771
22/01/2021,9.3,9.36,9.27,9.32,0.02,0.22,1889661
21/01/2021,9.24,9.365,9.22,9.3,0.06,0.65,2959711
20/01/2021,9.39,9.39,9.19,9.24,-0.11,-1.18,1780751
19/01/2021,9.49,9.49,9.31,9.35,0.07,0.75,2185772
18/01/2021,9.25,9.36,9.24,9.28,0.07,0.76,2836839
15/01/2021,9.33,9.48,9.21,9.21,0.05,0.55,4088165
14/01/2021,9.09,9.24,9.01,9.16,0.18,2,2258429
13/01/2021,9.1,9.12,8.95,8.98,-0.09,-0.99,1993281
12/01/2021,9.25,9.25,9.07,9.07,-0.18,-1.95,1848591
11/01/2021,9.45,9.52,9.245,9.25,-0.13,-1.39,1638126
08/01/2021,9.23,9.39,9.23,9.38,0.23,2.51,3643776
07/01/2021,9.35,9.38,9.12,9.15,-0.19,-2.03,2777605
06/01/2021,9.59,9.59,9.29,9.34,-0.21,-2.2,2044849
05/01/2021,9.53,9.565,9.38,9.55,-0.02,-0.21,3333102
04/01/2021,9.41,9.58,9.4,9.57,0.17,1.81,3158475
31/12/2020,9.45,9.51,9.32,9.4,-0.05,-0.53,994283
30/12/2020,9.4,9.45,9.3,9.45,0.01,0.11,1469870
29/12/2020,9.6,9.6,9.4,9.44,0.02,0.21,1744032
24/12/2020,9.5,9.5,9.36,9.42,0.12,1.29,885467
23/12/2020,9.22,9.33,9.2,9.3,0.14,1.53,1846849
22/12/2020,9.5,9.52,9.15,9.16,-0.19,-2.03,2859782
21/12/2020,9.5,9.5,9.3,9.35,-0.08,-0.85,2138241
18/12/2020,9.57,9.6,9.37,9.43,-0.16,-1.67,5046696
17/12/2020,9.49,9.6,9.39,9.59,0.18,1.91,3539291
16/12/2020,9.36,9.495,9.34,9.41,0.2,2.17,4120877
15/12/2020,9.52,9.52,9.17,9.21,-0.18,-1.92,3823624
14/12/2020,9.5,9.57,9.355,9.39,-0.03,-0.32,5294362
11/12/2020,9.25,9.54,9.22,9.42,0.33,3.63,10190959
10/12/2020,9.22,9.35,9.04,9.09,-0.19,-2.05,6436756
09/12/2020,9.3,9.36,9.13,9.28,0.03,0.32,3970648
08/12/2020,9.33,9.4,9.21,9.25,0.05,0.54,6007078
07/12/2020,9.33,9.375,9.1,9.2,0.12,1.32,6790547
04/12/2020,8.87,9.53,8.85,9.08,0.32,3.65,11911693
03/12/2020,8.8,8.88,8.68,8.76,0.11,1.27,10993428
02/12/2020,8.52,8.89,8.49,8.65,0.25,2.98,10459486
01/12/2020,8.6,8.7,8.39,8.4,-0.19,-2.21,13692761
30/11/2020,8.2,9.03,8.14,8.59,-0.64,-6.93,31962924
27/11/2020,10.35,10.41,8.91,9.23,-1.17,-11.25,5213145
26/11/2020,10.63,10.63,10.29,10.4,-0.17,-1.61,4648955
25/11/2020,10.39,10.63,10.37,10.57,0.31,3.02,5432921
24/11/2020,10.12,10.31,10.1,10.26,0.25,2.5,2581144
23/11/2020,10.01,10.04,9.88,10.01,0.12,1.21,2959776
20/11/2020,9.83,9.97,9.78,9.89,0,0,4632050
19/11/2020,9.94,9.975,9.79,9.89,-0.2,-1.98,5788992
18/11/2020,10,10.16,9.8,10.09,0.11,1.1,7754046
17/11/2020,9.47,10.05,9.46,9.98,0.57,6.06,7326493
16/11/2020,9.35,9.49,9.31,9.41,0.23,2.51,629276
13/11/2020,9.35,9.44,9.09,9.18,-0.16,-1.71,4530089
12/11/2020,9.4,9.47,9.3,9.34,-0.08,-0.85,3316259
11/11/2020,9.05,9.42,9.05,9.42,0.37,4.09,5588719
10/11/2020,9.18,9.28,8.95,9.05,0.04,0.44,3976885
09/11/2020,8.95,9.19,8.89,9.01,0.26,2.97,4278711
06/11/2020,8.2,8.795,8.14,8.75,0.79,9.92,8489062
05/11/2020,8.14,8.19,7.865,7.96,-0.71,-8.19,12755405
04/11/2020,8.92,9.1,8.63,8.67,-0.28,-3.13,5108770
03/11/2020,9.09,9.13,8.95,8.95,-0.29,-3.14,7481754
02/11/2020,9.17,9.24,9.07,9.24,0.07,0.76,2698369
30/10/2020,9.08,9.195,9.04,9.17,0.07,0.77,3325492
29/10/2020,9.01,9.12,8.95,9.1,0.03,0.33,2075778
28/10/2020,8.94,9.08,8.92,9.07,0.09,1,3529812
27/10/2020,9.02,9.09,8.9,8.98,-0.06,-0.66,3249049
26/10/2020,9,9.175,9,9.04,0.06,0.67,1426184
23/10/2020,9.03,9.12,8.94,8.98,-0.04,-0.44,3983172
22/10/2020,8.95,9.07,8.79,9.02,-0.02,-0.22,3843221
21/10/2020,9.02,9.12,9,9.04,0.06,0.67,6158980
20/10/2020,9.05,9.11,8.885,8.98,-0.19,-2.07,3884548
19/10/2020,9.19,9.21,9.1,9.17,0,0,2442080
16/10/2020,9.25,9.28,9.08,9.17,-0.15,-1.61,5049037
15/10/2020,9.29,9.46,9.25,9.32,0.04,0.43,3481692
14/10/2020,9.26,9.31,9.18,9.28,0.02,0.22,2761142
13/10/2020,9.24,9.27,9.16,9.26,0.06,0.65,3589717
12/10/2020,9.15,9.2,9.09,9.2,0.01,0.11,1695551
09/10/2020,9.21,9.24,9.01,9.19,0,0,5167462
08/10/2020,9.15,9.25,9.11,9.19,0.06,0.66,2355907
07/10/2020,8.97,9.17,8.97,9.13,0.16,1.78,3054045
06/10/2020,9.02,9.09,8.92,8.97,-0.05,-0.55,2090656
05/10/2020,8.91,9.03,8.87,9.02,0.25,2.85,3150117
02/10/2020,8.86,8.905,8.745,8.77,-0.09,-1.02,6053753
01/10/2020,8.95,9.08,8.86,8.86,-0.08,-0.89,3504530
30/09/2020,8.97,9.11,8.9,8.94,-0.11,-1.22,4696146
29/09/2020,8.9,9.06,8.86,9.05,0.19,2.14,4409474
28/09/2020,9,9.05,8.86,8.86,-0.15,-1.66,2975797
25/09/2020,9,9.1,8.94,9.01,-0.07,-0.77,2454935
