Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4,4.1,3.98,3.98,-0.03,-0.75,1449398
29/01/2021,4.15,4.15,3.96,4.01,-0.02,-0.5,1286104
28/01/2021,4.01,4.05,4,4.03,-0.04,-0.98,666952
27/01/2021,4.14,4.16,4.04,4.07,0.01,0.25,906020
25/01/2021,4.06,4.15,4.05,4.06,0.05,1.25,702473
22/01/2021,4.14,4.14,3.98,4.01,-0.02,-0.5,2673146
21/01/2021,4.1,4.15,4.03,4.03,-0.07,-1.71,1025711
20/01/2021,4.15,4.165,4.1,4.1,0,0,733861
19/01/2021,4.1,4.15,4.08,4.1,0.07,1.74,748807
18/01/2021,4,4.045,3.98,4.03,0.04,1,555842
15/01/2021,4.1,4.1,3.98,3.99,0,0,1091059
14/01/2021,4.04,4.04,3.96,3.99,-0.01,-0.25,1816351
13/01/2021,4.08,4.16,3.93,4,-0.07,-1.72,2338453
12/01/2021,3.93,4.155,3.93,4.07,0.16,4.09,1680576
11/01/2021,3.97,4.01,3.91,3.91,-0.08,-2.01,4536287
08/01/2021,4.08,4.08,3.91,3.99,-0.04,-0.99,1089826
07/01/2021,4.09,4.09,3.97,4.03,0.04,1,858861
06/01/2021,4.04,4.075,3.95,3.99,-0.06,-1.48,1068751
05/01/2021,4.1,4.13,4.03,4.05,-0.08,-1.94,899612
04/01/2021,4.12,4.185,4.12,4.13,0.03,0.73,292441
31/12/2020,4.15,4.22,4.1,4.1,-0.13,-3.07,335560
30/12/2020,4.07,4.29,4.05,4.23,0.11,2.67,720831
29/12/2020,4.21,4.21,4.07,4.12,-0.02,-0.48,229002
24/12/2020,4.16,4.19,4.11,4.14,-0.01,-0.24,214125
23/12/2020,4.09,4.21,4.04,4.15,0.1,2.47,1095412
22/12/2020,4.06,4.15,4.03,4.05,-0.13,-3.11,629522
21/12/2020,4.09,4.2,4.03,4.18,0.06,1.46,1605062
18/12/2020,4.15,4.17,4.06,4.12,-0.04,-0.96,2129294
17/12/2020,4.25,4.29,4.14,4.16,0.04,0.97,1417932
16/12/2020,4.23,4.29,4.07,4.12,-0.1,-2.37,1042901
15/12/2020,4.27,4.3,4.22,4.22,-0.07,-1.63,848245
14/12/2020,4.36,4.36,4.27,4.29,0,0,896650
11/12/2020,4.3,4.41,4.27,4.29,-0.07,-1.61,448378
10/12/2020,4.35,4.49,4.34,4.36,-0.01,-0.23,675161
09/12/2020,4.4,4.41,4.33,4.37,0.05,1.16,566380
08/12/2020,4.33,4.41,4.32,4.32,-0.03,-0.69,536395
07/12/2020,4.44,4.45,4.31,4.35,-0.03,-0.68,1025551
04/12/2020,4.4,4.41,4.32,4.38,-0.03,-0.68,1681642
03/12/2020,4.42,4.5,4.36,4.41,0.01,0.23,583685
02/12/2020,4.43,4.48,4.32,4.4,-0.02,-0.45,1305829
01/12/2020,4.4,4.5,4.4,4.42,0,0,652712
30/11/2020,4.47,4.48,4.42,4.42,-0.05,-1.12,1185909
27/11/2020,4.58,4.59,4.47,4.47,-0.04,-0.89,314501
26/11/2020,4.51,4.57,4.48,4.51,0.01,0.22,2068458
25/11/2020,4.57,4.65,4.44,4.5,-0.05,-1.1,3712113
24/11/2020,4.57,4.63,4.51,4.55,-0.01,-0.22,1492513
23/11/2020,4.56,4.59,4.53,4.56,0.02,0.44,1403743
20/11/2020,4.53,4.65,4.51,4.54,-0.04,-0.87,2203008
19/11/2020,4.52,4.61,4.51,4.58,-0.16,-3.38,1784798
18/11/2020,4.91,4.97,4.73,4.74,0.14,3.04,2423076
17/11/2020,4.51,4.61,4.51,4.6,0.1,2.22,4240985
16/11/2020,4.48,4.53,4.47,4.5,0.03,0.67,49140
13/11/2020,4.42,4.55,4.42,4.47,-0.03,-0.67,635190
12/11/2020,4.58,4.58,4.49,4.5,-0.08,-1.75,2037015
11/11/2020,4.53,4.63,4.47,4.58,0.07,1.55,2897043
10/11/2020,4.36,4.57,4.34,4.51,0.26,6.12,2860765
09/11/2020,4.29,4.36,4.22,4.25,-0.04,-0.93,831293
06/11/2020,4.17,4.29,4.17,4.29,0.14,3.37,473859
05/11/2020,4.1,4.16,4.05,4.15,0.1,2.47,1719419
04/11/2020,4.06,4.105,3.99,4.05,-0.03,-0.74,783730
03/11/2020,4.06,4.11,4.04,4.08,-0.03,-0.73,903638
02/11/2020,4.02,4.17,4.02,4.11,0.08,1.99,999716
30/10/2020,4.13,4.13,4.02,4.03,-0.09,-2.18,816171
29/10/2020,4.17,4.23,4.085,4.12,-0.07,-1.67,2051714
28/10/2020,4.02,4.28,4.01,4.19,0.17,4.23,8088789
27/10/2020,4.14,4.14,3.98,4.02,-0.03,-0.74,1087750
26/10/2020,4.18,4.3,4.02,4.05,-0.1,-2.41,1035531
23/10/2020,4.3,4.3,4.1,4.15,-0.15,-3.49,1566572
22/10/2020,4.25,4.3,4.2,4.3,-0.02,-0.46,726209
21/10/2020,4.21,4.36,4.21,4.32,-0.03,-0.69,843020
20/10/2020,4.4,4.4,4.25,4.35,-0.07,-1.58,591859
19/10/2020,4.32,4.48,4.3,4.42,0.17,4,775217
16/10/2020,4.28,4.32,4.25,4.25,-0.03,-0.7,1198169
15/10/2020,4.27,4.32,4.255,4.28,0.02,0.47,1314007
14/10/2020,4.22,4.29,4.22,4.26,0.05,1.19,824022
13/10/2020,4.26,4.29,4.21,4.21,-0.05,-1.17,695119
12/10/2020,4.21,4.26,4.18,4.26,0.03,0.71,1202402
09/10/2020,4.32,4.35,4.22,4.23,-0.12,-2.76,952111
08/10/2020,4.3,4.39,4.27,4.35,0.09,2.11,2592390
07/10/2020,4.22,4.3,4.17,4.26,0.01,0.24,723570
06/10/2020,4.1,4.28,4.03,4.25,0.1,2.41,1060033
05/10/2020,4.19,4.19,4.1,4.15,0.06,1.47,441456
02/10/2020,4.19,4.2,4.05,4.09,-0.05,-1.21,1474030
01/10/2020,4.08,4.2,4.05,4.14,0.02,0.49,895461
30/09/2020,4.08,4.14,4.04,4.12,-0.01,-0.24,1796692
29/09/2020,4.15,4.17,4.08,4.13,-0.03,-0.72,2103259
28/09/2020,4.13,4.2,4.1,4.16,-0.01,-0.24,736649
25/09/2020,4.11,4.18,4.08,4.17,0.08,1.96,1432570
24/09/2020,4.1,4.21,4.09,4.09,-0.1,-2.39,1368643
23/09/2020,4.26,4.26,4.13,4.19,0.02,0.48,1723301
22/09/2020,4.23,4.24,4.16,4.17,-0.1,-2.34,1340247
21/09/2020,4.28,4.3,4.195,4.27,-0.04,-0.93,1544324
18/09/2020,4.25,4.38,4.2,4.31,0.09,2.13,3405218
17/09/2020,4.24,4.28,4.2,4.22,-0.05,-1.17,828146
16/09/2020,4.25,4.31,4.18,4.27,0.07,1.67,4628845
15/09/2020,4.22,4.34,4.18,4.2,-0.04,-0.94,1208456
14/09/2020,4.09,4.25,4.09,4.24,0.1,2.42,1257094
11/09/2020,4.1,4.21,4.08,4.14,-0.03,-0.72,999019
10/09/2020,4.22,4.24,4.15,4.17,-0.01,-0.24,504099
09/09/2020,4.15,4.23,4.1,4.18,-0.04,-0.95,852316
08/09/2020,4.25,4.3,4.19,4.22,-0.02,-0.47,2196527
07/09/2020,4.08,4.24,4.05,4.24,0.11,2.66,1005570
04/09/2020,4.15,4.175,4.07,4.13,-0.13,-3.05,1425836
03/09/2020,4.16,4.295,4.14,4.26,0.17,4.16,2723700
02/09/2020,4,4.12,3.96,4.09,0.24,6.23,2287544
