Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,5.4,5.525,5.34,5.52,0.11,2.03,2848248
29/01/2021,5.45,5.46,5.32,5.41,0.12,2.27,19553936
28/01/2021,5.4,5.44,5.18,5.29,0.67,14.5,6743310
27/01/2021,4.68,4.71,4.62,4.62,0.13,2.9,1266732
25/01/2021,4.48,4.5,4.45,4.49,0.07,1.58,772416
22/01/2021,4.55,4.57,4.36,4.42,-0.32,-6.75,3552062
21/01/2021,4.74,4.76,4.67,4.74,0,0,922960
20/01/2021,4.78,4.79,4.74,4.74,-0.04,-0.84,545396
19/01/2021,4.77,4.79,4.72,4.78,-0.03,-0.62,856808
18/01/2021,4.86,4.86,4.78,4.81,-0.11,-2.24,795533
15/01/2021,4.9,4.96,4.89,4.92,0.09,1.86,816762
14/01/2021,4.83,4.85,4.75,4.83,-0.07,-1.43,878000
13/01/2021,4.9,4.9,4.84,4.9,0.01,0.2,1018410
12/01/2021,4.96,4.96,4.88,4.89,-0.05,-1.01,1001525
11/01/2021,4.98,4.98,4.92,4.94,-0.12,-2.37,598120
08/01/2021,5.09,5.09,4.99,5.06,-0.03,-0.59,1613780
07/01/2021,5.08,5.135,5.05,5.09,0.19,3.88,1035725
06/01/2021,4.92,4.96,4.88,4.9,0.04,0.82,1232688
05/01/2021,4.91,4.92,4.84,4.86,-0.2,-3.95,1226937
04/01/2021,5.1,5.11,5,5.06,-0.04,-0.78,908568
31/12/2020,5.26,5.26,5.1,5.1,-0.2,-3.77,720566
30/12/2020,5.29,5.31,5.19,5.3,-0.01,-0.19,1802667
29/12/2020,5.25,5.34,5.24,5.31,0.13,2.51,821925
24/12/2020,5.16,5.24,5.15,5.18,0.17,3.39,1173630
23/12/2020,4.95,5.04,4.95,5.01,0.25,5.25,1158822
22/12/2020,4.76,4.81,4.7,4.76,-0.12,-2.46,1967205
21/12/2020,4.97,4.98,4.82,4.88,-0.16,-3.17,1772671
18/12/2020,5.05,5.11,5,5.04,0.06,1.2,3932980
17/12/2020,5,5.03,4.965,4.98,-0.02,-0.4,1836084
16/12/2020,4.95,5.08,4.94,5,0.18,3.73,2297507
15/12/2020,4.94,4.95,4.81,4.82,-0.16,-3.21,1194237
14/12/2020,4.98,4.99,4.94,4.98,0.03,0.61,716098
11/12/2020,4.89,4.99,4.87,4.95,0.09,1.85,2187945
10/12/2020,4.91,4.97,4.86,4.86,-0.15,-2.99,1454827
09/12/2020,5.07,5.085,5.01,5.01,-0.06,-1.18,1503022
08/12/2020,5.05,5.1,5.02,5.07,-0.08,-1.55,5246063
07/12/2020,5.09,5.15,5.06,5.15,0.11,2.18,831767
04/12/2020,5.03,5.07,5.01,5.04,-0.11,-2.14,955484
03/12/2020,5.1,5.16,5.08,5.15,0.1,1.98,1338415
02/12/2020,5.15,5.15,5.01,5.05,0.11,2.23,1156067
01/12/2020,4.89,4.95,4.8,4.94,-0.08,-1.59,1715380
30/11/2020,5.1,5.17,5.02,5.02,-0.05,-0.99,3334522
27/11/2020,5.1,5.14,5.02,5.07,0.07,1.4,1176891
26/11/2020,5.19,5.19,5,5,-0.18,-3.47,1975083
25/11/2020,5.03,5.24,5.03,5.18,0.35,7.25,3725406
24/11/2020,4.75,4.85,4.74,4.83,0.33,7.33,2648615
23/11/2020,4.6,4.62,4.45,4.5,-0.1,-2.17,2020745
20/11/2020,4.62,4.65,4.53,4.6,-0.16,-3.36,1552429
19/11/2020,4.73,4.76,4.62,4.76,-0.03,-0.63,3860102
18/11/2020,4.88,4.96,4.73,4.79,0.14,3.01,5038055
17/11/2020,4.62,4.78,4.6,4.65,0.635,15.82,7778495
16/11/2020,3.95,4.015,3.95,4.015,0.355,9.7,259203
13/11/2020,3.9,3.94,3.62,3.66,-0.24,-6.15,3899766
12/11/2020,4,4,3.77,3.9,-0.15,-3.7,4032607
11/11/2020,4.2,4.24,3.92,4.05,-0.07,-1.7,5371751
10/11/2020,3.32,4.18,3.32,4.12,1.25,43.55,16392872
09/11/2020,2.8,2.9,2.79,2.87,0.08,2.87,1335302
06/11/2020,2.83,2.84,2.79,2.79,-0.01,-0.36,1095090
05/11/2020,2.82,2.84,2.77,2.8,0,0,788676
04/11/2020,2.87,2.87,2.78,2.8,-0.07,-2.44,1102872
03/11/2020,2.94,2.94,2.83,2.87,-0.07,-2.38,774516
02/11/2020,2.9,2.97,2.88,2.94,0.04,1.38,678556
30/10/2020,2.84,2.95,2.76,2.9,0.13,4.69,6942964
29/10/2020,2.78,2.82,2.76,2.77,-0.17,-5.78,2764698
28/10/2020,2.98,2.98,2.78,2.94,-0.07,-2.33,2272513
27/10/2020,3.05,3.07,2.99,3.01,-0.07,-2.27,1944469
26/10/2020,3.12,3.18,3.07,3.08,-0.05,-1.6,1601014
23/10/2020,3.13,3.19,3.1,3.13,0,0,674219
