Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,1.52,1.535,1.49,1.515,-0.02,-1.3,32594397
29/01/2021,1.58,1.595,1.53,1.535,-0.05,-3.15,38418422
28/01/2021,1.535,1.605,1.527,1.585,0.035,2.26,30374754
27/01/2021,1.555,1.58,1.545,1.55,0.005,0.32,23523025
25/01/2021,1.555,1.56,1.535,1.545,0,0,10751272
22/01/2021,1.54,1.5575,1.535,1.545,0,0,21556043
21/01/2021,1.595,1.597,1.54,1.545,-0.04,-2.52,17039767
20/01/2021,1.58,1.6,1.565,1.585,-0.02,-1.25,16713978
19/01/2021,1.575,1.605,1.575,1.605,0.03,1.9,12712963
18/01/2021,1.575,1.59,1.55,1.575,-0.015,-0.94,14093598
15/01/2021,1.515,1.59,1.51,1.59,0.075,4.95,29010758
14/01/2021,1.51,1.525,1.492,1.515,0.01,0.66,23403707
13/01/2021,1.52,1.525,1.475,1.505,-0.005,-0.33,19380203
12/01/2021,1.555,1.5575,1.505,1.51,-0.04,-2.58,22779734
11/01/2021,1.55,1.565,1.545,1.55,-0.01,-0.64,15402046
08/01/2021,1.585,1.585,1.54,1.56,-0.02,-1.27,17272593
07/01/2021,1.575,1.595,1.56,1.58,0.02,1.28,15371113
06/01/2021,1.55,1.565,1.54,1.56,0.005,0.32,17726140
05/01/2021,1.565,1.57,1.545,1.555,-0.045,-2.81,21731444
04/01/2021,1.605,1.62,1.585,1.6,-0.005,-0.31,19972645
31/12/2020,1.64,1.64,1.605,1.605,-0.035,-2.13,8860895
30/12/2020,1.635,1.64,1.605,1.64,-0.03,-1.8,12706129
29/12/2020,1.68,1.68,1.655,1.67,0.005,0.3,10946991
24/12/2020,1.63,1.675,1.625,1.665,0.04,2.46,6785284
23/12/2020,1.62,1.64,1.605,1.625,0.015,0.93,11543223
22/12/2020,1.575,1.6175,1.5575,1.61,0.02,1.26,15108103
21/12/2020,1.545,1.605,1.54,1.59,0.01,0.63,16797013
18/12/2020,1.625,1.627,1.56,1.58,-0.06,-3.66,60684292
