Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,1.725,1.785,1.7,1.76,0.015,0.86,3582777
29/01/2021,1.82,1.82,1.742,1.745,-0.04,-2.24,2998916
28/01/2021,1.775,1.82,1.77,1.785,-0.035,-1.92,3262101
27/01/2021,1.88,1.89,1.815,1.82,-0.06,-3.19,2260255
25/01/2021,1.85,1.885,1.84,1.88,0.025,1.35,1804723
22/01/2021,1.86,1.865,1.835,1.855,-0.02,-1.07,3553581
21/01/2021,1.89,1.895,1.835,1.875,-0.01,-0.53,3182107
20/01/2021,1.87,1.895,1.855,1.885,0.01,0.53,2933138
19/01/2021,1.85,1.88,1.83,1.875,0.04,2.18,2964022
18/01/2021,1.825,1.845,1.775,1.835,0,0,4456534
15/01/2021,1.79,1.87,1.78,1.835,0.035,1.94,9674676
14/01/2021,1.775,1.815,1.75,1.8,0.015,0.84,3760808
13/01/2021,1.72,1.8,1.72,1.785,0.06,3.48,5946492
12/01/2021,1.77,1.79,1.717,1.725,-0.015,-0.86,5914282
11/01/2021,1.79,1.815,1.73,1.74,-0.06,-3.33,3628067
08/01/2021,1.81,1.845,1.775,1.8,-0.015,-0.83,5345505
07/01/2021,1.865,1.865,1.805,1.815,-0.025,-1.36,5464755
06/01/2021,1.9,1.917,1.825,1.84,-0.045,-2.39,7001905
05/01/2021,1.855,1.89,1.8075,1.885,0,0,5998633
04/01/2021,1.93,1.94,1.87,1.885,-0.025,-1.31,2842076
31/12/2020,1.95,1.965,1.9,1.91,-0.06,-3.05,2214759
30/12/2020,1.92,1.97,1.895,1.97,0.03,1.55,4071353
29/12/2020,1.96,1.965,1.87,1.94,-0.02,-1.02,4809296
24/12/2020,1.975,1.99,1.925,1.96,-0.015,-0.76,1676403
23/12/2020,1.94,1.995,1.92,1.975,0.04,2.07,4439413
22/12/2020,1.93,1.97,1.895,1.935,-0.045,-2.27,4425184
21/12/2020,1.915,2.02,1.905,1.98,0.05,2.59,8315420
18/12/2020,1.98,2.01,1.815,1.93,-0.08,-3.98,24039426
17/12/2020,1.96,2.01,1.95,2.01,0.03,1.52,5398422
16/12/2020,2.03,2.08,1.97,1.98,-0.06,-2.94,7072733
15/12/2020,2.06,2.09,2.03,2.04,-0.01,-0.49,3812971
14/12/2020,2.09,2.12,2.03,2.05,-0.02,-0.97,3879822
11/12/2020,1.98,2.08,1.98,2.07,0.075,3.76,8045675
10/12/2020,1.97,2.01,1.96,1.995,0.025,1.27,2826740
09/12/2020,1.94,1.985,1.925,1.97,0.045,2.34,8696508
08/12/2020,1.925,1.945,1.912,1.925,-0.015,-0.77,2780899
07/12/2020,1.895,1.96,1.895,1.94,0.045,2.37,2442073
04/12/2020,1.885,1.915,1.875,1.895,-0.005,-0.26,1923905
03/12/2020,1.875,1.94,1.875,1.9,0.025,1.33,7266571
02/12/2020,1.88,1.895,1.865,1.875,0,0,5232376
01/12/2020,1.93,1.945,1.875,1.875,-0.06,-3.1,4457237
30/11/2020,2,2.02,1.935,1.935,-0.035,-1.78,8042538
27/11/2020,1.975,2.01,1.94,1.97,-0.015,-0.76,2147210
26/11/2020,1.99,2.04,1.967,1.985,0.005,0.25,4153765
25/11/2020,1.925,1.99,1.925,1.98,0.05,2.59,6702763
24/11/2020,1.95,1.98,1.92,1.93,-0.015,-0.77,4470451
23/11/2020,1.96,1.97,1.89,1.945,0.01,0.52,8523900
20/11/2020,1.965,1.97,1.925,1.935,-0.03,-1.53,3938833
19/11/2020,1.92,1.965,1.9,1.965,0.05,2.61,5112976
18/11/2020,1.98,1.99,1.9,1.915,-0.065,-3.28,4431857
17/11/2020,1.88,1.995,1.88,1.98,0.125,6.74,6370865
16/11/2020,1.84,1.855,1.84,1.855,0.005,0.27,30022
13/11/2020,1.885,1.885,1.817,1.85,-0.015,-0.8,2384677
12/11/2020,1.92,1.935,1.855,1.865,-0.055,-2.86,5368982
11/11/2020,1.9,1.925,1.85,1.92,0.03,1.59,7479809
10/11/2020,1.88,1.9,1.875,1.89,0.09,5,15417830
09/11/2020,1.76,1.8,1.745,1.8,0.035,1.98,3550906
