Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.09,4.14,3.99,4.12,0,0,1945048
29/01/2021,4.08,4.15,4.06,4.12,0.04,0.98,1212257
28/01/2021,4.11,4.2,3.975,4.08,-0.12,-2.86,1707488
27/01/2021,4.28,4.31,4.155,4.2,-0.11,-2.55,1462110
25/01/2021,4.29,4.31,4.225,4.31,-0.02,-0.46,534209
22/01/2021,4.22,4.34,4.22,4.33,0.08,1.88,1100989
21/01/2021,4.26,4.29,4.18,4.25,0.02,0.47,1493099
20/01/2021,4.16,4.28,4.16,4.23,0.07,1.68,1469494
19/01/2021,4.15,4.19,4.11,4.16,-0.01,-0.24,650066
18/01/2021,4.13,4.23,4.13,4.17,0.05,1.21,727129
15/01/2021,4.06,4.16,4.04,4.12,0.02,0.49,983416
14/01/2021,4.14,4.15,4.07,4.1,-0.04,-0.97,1350480
13/01/2021,4.05,4.16,4.03,4.14,0.05,1.22,1217987
12/01/2021,4.07,4.13,4.05,4.09,0.02,0.49,1022937
11/01/2021,4.15,4.16,4.02,4.07,-0.13,-3.1,852547
08/01/2021,4.13,4.2,4.12,4.2,0.07,1.69,855209
07/01/2021,4.11,4.15,4.06,4.13,0.03,0.73,1470959
06/01/2021,4.03,4.13,4.01,4.1,0.02,0.49,1301029
05/01/2021,4.01,4.08,4.01,4.08,0,0,1006403
04/01/2021,4.02,4.08,3.97,4.08,0.04,0.99,879774
31/12/2020,4.08,4.11,3.97,4.04,-0.09,-2.18,1750887
30/12/2020,4.16,4.21,4.09,4.13,-0.06,-1.43,986087
29/12/2020,4.17,4.19,4.13,4.19,0.06,1.45,1082887
24/12/2020,4.15,4.18,4.06,4.13,-0.01,-0.24,1188931
23/12/2020,4.07,4.17,4.05,4.14,0.11,2.73,1659029
22/12/2020,3.93,4.075,3.92,4.03,0.09,2.28,2320276
21/12/2020,3.9,3.97,3.85,3.94,-0.02,-0.51,751511
18/12/2020,3.96,3.97,3.885,3.96,-0.01,-0.25,1576367
17/12/2020,3.95,3.97,3.86,3.97,0.05,1.28,2776479
16/12/2020,3.92,4.01,3.9,3.92,0.01,0.26,2466083
15/12/2020,3.92,3.95,3.88,3.91,-0.04,-1.01,2833430
14/12/2020,3.99,4.03,3.94,3.95,-0.03,-0.75,1523392
11/12/2020,3.93,4.02,3.93,3.98,-0.02,-0.5,1081955
10/12/2020,3.99,4.04,3.94,4,-0.01,-0.25,2360097
09/12/2020,4.08,4.11,3.91,4.01,-0.03,-0.74,2248784
08/12/2020,4.04,4.1,4.02,4.04,0.03,0.75,1876596
07/12/2020,4.11,4.15,4,4.01,-0.1,-2.43,930676
04/12/2020,4.09,4.155,4.09,4.11,0.01,0.24,634774
03/12/2020,4.11,4.16,4.075,4.1,-0.01,-0.24,887168
02/12/2020,4.1,4.18,4.085,4.11,0.01,0.24,6353791
01/12/2020,4.1,4.17,4.05,4.1,-0.01,-0.24,1791134
30/11/2020,4.26,4.295,4.1,4.11,-0.12,-2.84,2419709
27/11/2020,4.22,4.255,4.2,4.23,0.02,0.48,365125
26/11/2020,4.21,4.25,4.18,4.21,0,0,1057809
25/11/2020,4.28,4.29,4.16,4.21,-0.11,-2.55,4569945
24/11/2020,4.3,4.335,4.22,4.32,-0.01,-0.23,1747019
23/11/2020,4.25,4.34,4.22,4.33,0.08,1.88,978066
20/11/2020,4.34,4.37,4.21,4.25,-0.12,-2.75,1974799
19/11/2020,4.15,4.42,4.11,4.37,0.13,3.07,4346428
