Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.3,2.42,2.27,2.39,0.06,2.58,4643614
29/01/2021,2.39,2.39,2.31,2.33,-0.04,-1.69,2319235
28/01/2021,2.29,2.39,2.26,2.37,0.05,2.16,7238587
27/01/2021,2.35,2.36,2.3,2.32,-0.05,-2.11,3466253
25/01/2021,2.35,2.39,2.35,2.37,-0.03,-1.25,3369516
22/01/2021,2.36,2.4,2.35,2.4,0.03,1.27,2454199
21/01/2021,2.38,2.395,2.35,2.37,0,0,2162133
20/01/2021,2.36,2.4,2.35,2.37,-0.02,-0.84,5157858
19/01/2021,2.38,2.41,2.35,2.39,0.04,1.7,5592178
18/01/2021,2.37,2.39,2.34,2.35,-0.05,-2.08,2548971
15/01/2021,2.38,2.42,2.38,2.4,0,0,4244512
14/01/2021,2.42,2.42,2.38,2.4,-0.06,-2.44,3500179
13/01/2021,2.41,2.46,2.41,2.46,0.07,2.93,2234628
12/01/2021,2.4,2.435,2.39,2.39,-0.05,-2.05,2660016
11/01/2021,2.44,2.445,2.41,2.44,0,0,9870803
08/01/2021,2.39,2.44,2.36,2.44,0.03,1.24,8759771
07/01/2021,2.37,2.42,2.35,2.41,0.15,6.64,18342227
06/01/2021,2.25,2.31,2.25,2.26,-0.02,-0.88,3994535
05/01/2021,2.29,2.3,2.24,2.28,-0.07,-2.98,3093335
04/01/2021,2.37,2.38,2.32,2.35,-0.02,-0.84,2170762
31/12/2020,2.39,2.4,2.36,2.37,-0.05,-2.07,1035198
30/12/2020,2.41,2.44,2.38,2.42,-0.01,-0.41,2002009
29/12/2020,2.45,2.46,2.39,2.43,0,0,4971334
24/12/2020,2.41,2.47,2.37,2.43,0.2,8.97,6604187
23/12/2020,2.27,2.3,2.23,2.23,0.03,1.36,3138757
22/12/2020,2.23,2.27,2.2,2.2,-0.04,-1.79,2705331
21/12/2020,2.32,2.34,2.23,2.24,-0.16,-6.67,4016471
18/12/2020,2.4,2.42,2.35,2.4,-0.01,-0.41,5279320
17/12/2020,2.45,2.45,2.38,2.41,0.04,1.69,4762116
16/12/2020,2.34,2.41,2.33,2.37,0.11,4.87,5674046
15/12/2020,2.3,2.3,2.24,2.26,-0.01,-0.44,1896010
14/12/2020,2.24,2.29,2.23,2.27,0.02,0.89,1735132
11/12/2020,2.33,2.35,2.25,2.25,-0.11,-4.66,3978486
10/12/2020,2.38,2.4,2.36,2.36,-0.06,-2.48,2245057
09/12/2020,2.43,2.46,2.4,2.42,0.04,1.68,6392897
08/12/2020,2.36,2.39,2.32,2.38,-0.04,-1.65,3919342
07/12/2020,2.42,2.46,2.37,2.42,0.01,0.41,4318069
04/12/2020,2.43,2.43,2.385,2.41,-0.02,-0.82,3624251
03/12/2020,2.47,2.48,2.4,2.43,-0.04,-1.62,6121516
02/12/2020,2.53,2.53,2.42,2.47,0.08,3.35,14440552
01/12/2020,2.31,2.41,2.29,2.39,0.08,3.46,4698586
30/11/2020,2.34,2.37,2.3,2.31,0.03,1.32,8832448
27/11/2020,2.24,2.32,2.2,2.28,-0.02,-0.87,8722329
26/11/2020,2.51,2.51,2.26,2.3,-0.3,-11.54,12346139
25/11/2020,2.68,2.68,2.59,2.6,-0.05,-1.89,7486210
24/11/2020,2.7,2.72,2.64,2.65,0.01,0.38,7026148
23/11/2020,2.63,2.64,2.58,2.64,0.03,1.15,5217010
20/11/2020,2.65,2.675,2.58,2.61,-0.06,-2.25,4592193
19/11/2020,2.68,2.72,2.64,2.67,0.14,5.53,6037588
18/11/2020,2.53,2.58,2.5,2.53,0.03,1.2,3610185
17/11/2020,2.53,2.59,2.49,2.5,0.05,2.04,7734048
16/11/2020,2.4,2.45,2.39,2.45,0.08,3.38,320925
13/11/2020,2.39,2.4,2.33,2.37,-0.05,-2.07,6220728
12/11/2020,2.49,2.49,2.38,2.42,0.02,0.83,12219773
11/11/2020,2.34,2.43,2.3,2.4,0.3,14.29,20015722
10/11/2020,2.05,2.13,2.04,2.1,0.29,16.02,12805588
09/11/2020,1.79,1.855,1.79,1.81,0.02,1.12,3631017
06/11/2020,1.82,1.83,1.775,1.79,-0.04,-2.19,2888953
05/11/2020,1.865,1.865,1.795,1.83,-0.005,-0.27,4510601
04/11/2020,1.81,1.865,1.772,1.835,0.08,4.56,7124378
03/11/2020,1.715,1.77,1.715,1.755,0.055,3.24,3506229
02/11/2020,1.7,1.735,1.695,1.7,0.06,3.66,5103293
30/10/2020,1.66,1.6675,1.64,1.64,-0.03,-1.8,8388641
29/10/2020,1.7,1.71,1.66,1.67,-0.085,-4.84,8857159
28/10/2020,1.73,1.755,1.715,1.755,0.045,2.63,6232609
27/10/2020,1.66,1.71,1.655,1.71,0.045,2.7,10066221
26/10/2020,1.675,1.695,1.662,1.665,0.04,2.46,7947844
23/10/2020,1.63,1.65,1.615,1.625,0.015,0.93,7406972
22/10/2020,1.63,1.635,1.592,1.61,-0.04,-2.42,5638764
21/10/2020,1.64,1.665,1.63,1.65,0.06,3.77,9575270
20/10/2020,1.61,1.62,1.58,1.59,0.01,0.63,4026063
19/10/2020,1.58,1.59,1.57,1.58,0.025,1.61,3242626
16/10/2020,1.595,1.61,1.55,1.555,-0.045,-2.81,4597601
15/10/2020,1.59,1.64,1.59,1.6,0.005,0.31,4164378
14/10/2020,1.605,1.61,1.55,1.595,-0.06,-3.63,6011590
13/10/2020,1.62,1.655,1.6,1.655,0.115,7.47,6481581
12/10/2020,1.525,1.55,1.52,1.54,0.01,0.65,2316035
09/10/2020,1.53,1.54,1.52,1.53,0.02,1.32,3646103
08/10/2020,1.465,1.515,1.455,1.51,0.065,4.5,4935991
07/10/2020,1.405,1.45,1.395,1.445,0.085,6.25,6179961
06/10/2020,1.35,1.375,1.34,1.36,0.015,1.12,5753134
05/10/2020,1.31,1.35,1.305,1.345,0.07,5.49,3496518
02/10/2020,1.31,1.3175,1.275,1.275,-0.045,-3.41,4837548
01/10/2020,1.3,1.345,1.3,1.32,0.025,1.93,3700553
30/09/2020,1.31,1.325,1.295,1.295,-0.045,-3.36,5181022
29/09/2020,1.37,1.38,1.325,1.34,0.025,1.9,5530756
28/09/2020,1.31,1.32,1.295,1.315,-0.025,-1.87,4370122
25/09/2020,1.28,1.345,1.275,1.34,0.06,4.69,7782247
24/09/2020,1.29,1.29,1.255,1.28,-0.01,-0.78,8470583
23/09/2020,1.31,1.315,1.285,1.29,-0.03,-2.27,8158995
22/09/2020,1.3,1.325,1.262,1.32,-0.07,-5.04,15432230
21/09/2020,1.5,1.515,1.39,1.39,-0.14,-9.15,15685138
18/09/2020,1.59,1.595,1.53,1.53,-0.065,-4.08,22715284
17/09/2020,1.62,1.635,1.58,1.595,-0.03,-1.85,6291870
16/09/2020,1.625,1.64,1.62,1.625,0,0,2890377
15/09/2020,1.635,1.655,1.625,1.625,-0.015,-0.91,4688669
14/09/2020,1.63,1.65,1.61,1.64,-0.025,-1.5,4356196
11/09/2020,1.63,1.665,1.62,1.665,0,0,4887584
10/09/2020,1.63,1.665,1.63,1.665,0.035,2.15,7232802
09/09/2020,1.65,1.65,1.61,1.63,-0.075,-4.4,4817545
08/09/2020,1.7,1.725,1.685,1.705,0.01,0.59,4466171
07/09/2020,1.64,1.7,1.632,1.695,0.1,6.27,6077720
04/09/2020,1.6,1.61,1.57,1.595,-0.015,-0.93,5842501
03/09/2020,1.635,1.645,1.61,1.61,-0.025,-1.53,5495890
02/09/2020,1.65,1.67,1.635,1.635,-0.03,-1.8,5012857
01/09/2020,1.68,1.69,1.647,1.665,-0.06,-3.48,3663990
31/08/2020,1.68,1.7525,1.68,1.725,0.06,3.6,4000499
28/08/2020,1.67,1.695,1.66,1.665,-0.02,-1.19,2844698
27/08/2020,1.685,1.715,1.655,1.685,-0.025,-1.46,6693533
26/08/2020,1.72,1.72,1.67,1.71,-0.01,-0.58,3976675
25/08/2020,1.655,1.75,1.655,1.72,0.09,5.52,6654501
24/08/2020,1.62,1.63,1.595,1.63,-0.005,-0.31,2172776
21/08/2020,1.62,1.65,1.61,1.635,0.01,0.62,6455982
20/08/2020,1.63,1.64,1.595,1.625,-0.015,-0.91,2603528
19/08/2020,1.635,1.65,1.625,1.64,0,0,4241566
18/08/2020,1.67,1.67,1.63,1.64,-0.045,-2.67,3917041
17/08/2020,1.7,1.71,1.67,1.685,-0.04,-2.32,3784699
14/08/2020,1.72,1.745,1.705,1.725,-0.005,-0.29,3652484
13/08/2020,1.76,1.765,1.72,1.73,-0.02,-1.14,5671548
12/08/2020,1.735,1.76,1.71,1.75,0.095,5.74,6718755
11/08/2020,1.61,1.66,1.61,1.655,0.06,3.76,3573276
10/08/2020,1.58,1.61,1.56,1.595,0.015,0.95,4317562
07/08/2020,1.585,1.605,1.55,1.58,-0.055,-3.36,6351498
06/08/2020,1.65,1.6675,1.63,1.635,-0.01,-0.61,1881067
05/08/2020,1.63,1.6575,1.63,1.645,0.005,0.3,2608673
04/08/2020,1.64,1.6525,1.617,1.64,0.045,2.82,3687383
03/08/2020,1.6,1.6225,1.575,1.595,-0.03,-1.85,4561796
31/07/2020,1.71,1.71,1.62,1.625,-0.145,-8.19,6939045
30/07/2020,1.795,1.81,1.755,1.77,-0.025,-1.39,2650929
29/07/2020,1.775,1.825,1.75,1.795,0.025,1.41,4377976
28/07/2020,1.785,1.8,1.755,1.77,0.01,0.57,3071297
27/07/2020,1.725,1.775,1.72,1.76,0.035,2.03,6467759
24/07/2020,1.74,1.755,1.705,1.725,-0.035,-1.99,3481317
23/07/2020,1.73,1.78,1.73,1.76,-0.01,-0.56,5585104
22/07/2020,1.79,1.815,1.75,1.77,0,0,3284687
21/07/2020,1.715,1.77,1.71,1.77,0.085,5.04,6862571
20/07/2020,1.685,1.705,1.66,1.685,-0.015,-0.88,4023712
17/07/2020,1.67,1.7,1.67,1.7,0.025,1.49,2188174
16/07/2020,1.72,1.72,1.675,1.675,-0.02,-1.18,6046104
15/07/2020,1.68,1.715,1.66,1.695,0.03,1.8,5148303
14/07/2020,1.7,1.71,1.635,1.665,-0.08,-4.58,7100656
13/07/2020,1.7,1.77,1.7,1.745,0.09,5.44,5482597
10/07/2020,1.645,1.67,1.63,1.655,-0.02,-1.19,2572106
09/07/2020,1.65,1.7,1.65,1.675,0.035,2.13,2725772
08/07/2020,1.68,1.68,1.64,1.64,-0.05,-2.96,4301848
07/07/2020,1.73,1.735,1.68,1.69,0,0,3659344
06/07/2020,1.685,1.725,1.68,1.69,-0.045,-2.59,5415678
03/07/2020,1.765,1.785,1.71,1.735,-0.01,-0.57,2979730
02/07/2020,1.7,1.755,1.68,1.745,0.05,2.95,5348368
01/07/2020,1.665,1.745,1.665,1.695,0.04,2.42,5764405
30/06/2020,1.67,1.7,1.64,1.655,0.035,2.16,5822911
29/06/2020,1.65,1.65,1.605,1.62,-0.115,-6.63,6041628
26/06/2020,1.72,1.76,1.685,1.735,0.085,5.15,6786240
25/06/2020,1.73,1.75,1.635,1.65,-0.135,-7.56,8239944
24/06/2020,1.855,1.855,1.785,1.785,-0.055,-2.99,3365655
23/06/2020,1.8,1.84,1.765,1.84,0.035,1.94,4296568
22/06/2020,1.78,1.825,1.755,1.805,0.015,0.84,2843780
19/06/2020,1.83,1.845,1.79,1.79,-0.025,-1.38,3775863
18/06/2020,1.845,1.855,1.785,1.815,-0.085,-4.47,7417506
17/06/2020,1.94,1.94,1.855,1.9,0.02,1.06,9392880
16/06/2020,1.86,1.91,1.84,1.88,0.135,7.74,9308357
15/06/2020,1.835,1.875,1.74,1.745,-0.06,-3.32,12110953
12/06/2020,1.76,1.84,1.64,1.805,-0.095,-5,13671353
11/06/2020,1.985,2.03,1.895,1.9,-0.18,-8.65,8455234
10/06/2020,2.08,2.14,2.03,2.08,-0.12,-5.45,8195805
09/06/2020,2.08,2.2,2.08,2.2,0.31,16.4,15131956
05/06/2020,1.85,1.91,1.83,1.89,0.04,2.16,5987375
04/06/2020,1.88,1.905,1.81,1.85,0.045,2.49,10383155
03/06/2020,1.775,1.815,1.76,1.805,0.055,3.14,6150834
02/06/2020,1.77,1.79,1.74,1.75,-0.005,-0.28,4782963
01/06/2020,1.68,1.8,1.66,1.755,-0.05,-2.77,8649241
29/05/2020,1.88,1.88,1.8,1.805,-0.205,-10.2,11492646
28/05/2020,1.9,2.03,1.88,2.01,0.185,10.14,12666497
27/05/2020,1.64,1.88,1.62,1.825,0.245,15.51,14020885
26/05/2020,1.49,1.615,1.485,1.58,0.095,6.4,6776072
25/05/2020,1.495,1.51,1.45,1.485,0.02,1.37,2375126
22/05/2020,1.47,1.505,1.45,1.465,-0.02,-1.35,2702985
21/05/2020,1.515,1.53,1.465,1.485,0.01,0.68,3127588
20/05/2020,1.45,1.485,1.43,1.475,0.015,1.03,4707625
19/05/2020,1.46,1.48,1.435,1.46,0.07,5.04,7012391
18/05/2020,1.37,1.415,1.365,1.39,0.045,3.35,6251433
15/05/2020,1.345,1.365,1.325,1.345,0.03,2.28,5012256
14/05/2020,1.32,1.335,1.305,1.315,-0.065,-4.71,6314754
13/05/2020,1.365,1.395,1.347,1.38,-0.025,-1.78,11432556
12/05/2020,1.445,1.455,1.39,1.405,-0.145,-9.35,10327157
11/05/2020,1.47,1.555,1.465,1.55,0.11,7.64,6566902
08/05/2020,1.445,1.48,1.43,1.44,-0.005,-0.35,5577390
07/05/2020,1.415,1.475,1.395,1.445,0.085,6.25,7408389
06/05/2020,1.38,1.395,1.35,1.36,-0.06,-4.23,5793885
05/05/2020,1.42,1.435,1.39,1.42,0.02,1.43,5770198
04/05/2020,1.41,1.44,1.38,1.4,-0.055,-3.78,5960343
01/05/2020,1.49,1.495,1.44,1.455,-0.205,-12.35,8164738
30/04/2020,1.675,1.73,1.655,1.66,0.095,6.07,10408960
29/04/2020,1.475,1.575,1.47,1.565,0.145,10.21,6079575
28/04/2020,1.415,1.455,1.39,1.42,0.03,2.16,2999305
27/04/2020,1.305,1.405,1.3,1.39,0.095,7.34,2778619
24/04/2020,1.32,1.35,1.295,1.295,0.005,0.39,2855303
23/04/2020,1.32,1.33,1.29,1.29,-0.02,-1.53,3345618
22/04/2020,1.31,1.355,1.275,1.31,-0.045,-3.32,4376723
21/04/2020,1.43,1.44,1.35,1.355,-0.115,-7.82,4457081
20/04/2020,1.5,1.51,1.455,1.47,-0.025,-1.67,3053677
17/04/2020,1.51,1.52,1.455,1.495,0,0,5815383
16/04/2020,1.53,1.53,1.46,1.495,-0.155,-9.39,5874482
15/04/2020,1.69,1.69,1.59,1.65,-0.015,-0.9,6142597
14/04/2020,1.54,1.69,1.51,1.665,0.19,12.88,5659487
09/04/2020,1.47,1.5,1.455,1.475,0.035,2.43,4800013
08/04/2020,1.4,1.49,1.365,1.44,0.16,12.5,9479580
07/04/2020,1.34,1.4,1.255,1.28,0.035,2.81,5401079
06/04/2020,1.215,1.28,1.175,1.245,0.065,5.51,4521331
03/04/2020,1.2,1.22,1.16,1.18,0,0,5910793
02/04/2020,1.105,1.2,1.07,1.18,-0.065,-5.22,9456065
01/04/2020,1.245,1.295,1.215,1.245,0.01,0.81,5532336
31/03/2020,1.305,1.365,1.225,1.235,-0.055,-4.26,5798188
30/03/2020,1.22,1.29,1.2,1.29,-0.02,-1.53,3673141
27/03/2020,1.43,1.43,1.265,1.31,-0.085,-6.09,9816490
26/03/2020,1.35,1.435,1.295,1.395,0.16,12.96,9832172
25/03/2020,1.155,1.245,1.105,1.235,0.165,15.42,14698667
24/03/2020,1.195,1.235,1.06,1.07,-0.2,-15.75,16207591
23/03/2020,1.2,1.32,1.185,1.27,-0.17,-11.81,9852751
20/03/2020,1.215,1.55,1.13,1.44,0.06,4.35,21784262
19/03/2020,1.49,1.55,1.31,1.38,-0.39,-22.03,16333064
