Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,20.8,21.32,20.66,21.21,0.08,0.38,7519202
29/01/2021,21.65,21.66,21.025,21.13,-0.33,-1.54,9424725
28/01/2021,21.23,21.47,21.01,21.46,-0.2,-0.92,10631449
27/01/2021,21.85,21.97,21.51,21.66,-0.13,-0.6,8888447
25/01/2021,21.8,21.96,21.63,21.79,0.01,0.05,4526154
22/01/2021,21.64,21.87,21.64,21.78,-0.04,-0.18,8811529
21/01/2021,21.85,21.94,21.79,21.82,0.24,1.11,7379397
20/01/2021,21.76,21.85,21.575,21.58,-0.02,-0.09,6725358
19/01/2021,21.45,21.78,21.41,21.6,0.41,1.93,9593930
18/01/2021,21.36,21.37,21.1,21.19,-0.16,-0.75,6926816
15/01/2021,21.2,21.59,21.15,21.35,0.32,1.52,11938248
14/01/2021,20.7,21.2,20.675,21.03,0.43,2.09,12951641
13/01/2021,20.42,20.68,20.42,20.6,0.11,0.54,6888095
12/01/2021,20.31,20.63,20.28,20.49,0.2,0.99,9805529
11/01/2021,20.23,20.33,20.2,20.29,0.01,0.05,5411260
08/01/2021,20.11,20.28,20.02,20.28,0.29,1.45,8787826
07/01/2021,19.8,20.34,19.78,19.99,0.62,3.2,15843021
06/01/2021,19.45,19.5,19.23,19.37,-0.15,-0.77,7867560
05/01/2021,19.47,19.53,19.38,19.52,-0.11,-0.56,5661543
04/01/2021,19.46,19.67,19.42,19.63,0.26,1.34,6204008
31/12/2020,19.59,19.65,19.37,19.37,-0.29,-1.48,4620360
30/12/2020,19.56,19.66,19.5,19.66,0,0,3700361
29/12/2020,19.77,19.81,19.63,19.66,0.11,0.56,3048735
24/12/2020,19.76,19.78,19.55,19.55,-0.01,-0.05,2832658
23/12/2020,19.57,19.7,19.525,19.56,0,0,5348258
22/12/2020,19.72,19.81,19.47,19.56,-0.32,-1.61,8643098
21/12/2020,19.81,19.88,19.65,19.88,-0.02,-0.1,8906677
18/12/2020,20.15,20.15,19.9,19.9,-0.31,-1.53,20442207
17/12/2020,20.15,20.295,20.11,20.21,0.12,0.6,15824947
16/12/2020,20.02,20.315,20.02,20.09,0.16,0.8,13468659
15/12/2020,20.06,20.06,19.82,19.93,-0.1,-0.5,7987900
14/12/2020,20,20.19,19.92,20.03,0.08,0.4,8634010
11/12/2020,19.95,20.04,19.85,19.95,-0.04,-0.2,7249282
10/12/2020,20.06,20.13,19.95,19.99,-0.08,-0.4,10589021
09/12/2020,20.12,20.205,20.06,20.07,-0.07,-0.35,7985400
08/12/2020,20.1,20.2,20.01,20.14,-0.13,-0.64,10977325
07/12/2020,20.35,20.47,20.13,20.27,0,0,7360248
04/12/2020,20.19,20.38,20.17,20.27,0.07,0.35,7356086
03/12/2020,20.3,20.37,20.16,20.2,-0.1,-0.49,8270738
02/12/2020,20.3,20.35,20.1,20.3,0.02,0.1,9377983
01/12/2020,20.01,20.43,19.85,20.28,0.15,0.75,8793537
30/11/2020,20.55,20.66,20.08,20.13,-0.3,-1.47,16166930
27/11/2020,20.51,20.61,20.31,20.43,-0.18,-0.87,10192309
26/11/2020,20.77,20.81,20.51,20.61,-0.28,-1.34,12036878
25/11/2020,20.87,21.07,20.8,20.89,0.44,2.15,16869620
24/11/2020,20.1,20.605,20.1,20.45,0.52,2.61,14173720
23/11/2020,19.9,20.12,19.8,19.93,0.02,0.1,8738327
20/11/2020,19.9,20.01,19.75,19.91,0.01,0.05,17098361
19/11/2020,19.62,19.91,19.53,19.9,0.45,2.31,21347262
18/11/2020,19.16,19.53,19.13,19.45,0.43,2.26,17157733
17/11/2020,18.77,19.23,18.76,19.02,0.42,2.26,25747756
16/11/2020,18.6,18.65,18.56,18.6,0.26,1.42,1213688
13/11/2020,18.2,18.4,18.03,18.34,-0.04,-0.22,11566066
12/11/2020,18.78,18.78,18.22,18.38,-0.35,-1.87,14572657
11/11/2020,18.63,18.81,18.56,18.73,0.05,0.27,16607531
10/11/2020,18.57,18.88,18.395,18.68,0.92,5.18,28973864
09/11/2020,17.79,17.96,17.7,17.76,-0.01,-0.06,9994055
06/11/2020,17.84,17.9,17.68,17.77,0.07,0.4,9653927
05/11/2020,17.33,17.72,17.18,17.7,0.35,2.02,10498376
04/11/2020,17.68,17.7,17.2,17.35,-0.35,-1.98,14637675
03/11/2020,17.86,17.92,17.69,17.7,-0.1,-0.56,14957324
02/11/2020,18.08,18.15,17.56,17.8,-0.11,-0.61,14796460
30/10/2020,17.95,18.1,17.88,17.91,-0.04,-0.22,12089210
29/10/2020,18,18.14,17.88,17.95,-0.36,-1.97,9597870
28/10/2020,18.27,18.47,18.17,18.31,-0.25,-1.35,9661491
27/10/2020,18.5,18.7,18.485,18.56,-0.14,-0.75,6509464
26/10/2020,18.84,19.02,18.57,18.7,-0.08,-0.43,8943453
23/10/2020,18.77,18.82,18.61,18.78,0.18,0.97,9729631
22/10/2020,18.49,18.61,18.35,18.6,-0.09,-0.48,10042189
21/10/2020,18.45,18.79,18.37,18.69,0.18,0.97,9049806
20/10/2020,18.77,18.77,18.47,18.51,-0.27,-1.44,13179059
19/10/2020,18.87,18.93,18.71,18.78,0.12,0.64,7063372
16/10/2020,18.93,18.96,18.57,18.66,-0.12,-0.64,10369740
15/10/2020,18.66,18.95,18.61,18.78,0.08,0.43,8254373
14/10/2020,18.74,18.77,18.56,18.7,-0.26,-1.37,9929592
13/10/2020,18.92,19.07,18.76,18.96,0.41,2.21,14317530
12/10/2020,18.1,18.55,17.99,18.55,0.34,1.87,8756668
09/10/2020,18.18,18.34,17.98,18.21,0.09,0.5,11033103
08/10/2020,18.02,18.18,17.99,18.12,0.26,1.46,11665211
07/10/2020,17.36,17.86,17.25,17.86,0.45,2.58,9899590
06/10/2020,17.4,17.45,17.07,17.41,0.12,0.69,8287725
05/10/2020,16.99,17.33,16.91,17.29,0.72,4.35,6593245
02/10/2020,16.8,16.83,16.51,16.57,-0.35,-2.07,7625692
01/10/2020,16.9,17.08,16.84,16.92,0.08,0.48,5951026
30/09/2020,16.99,17.06,16.82,16.84,-0.32,-1.86,13643847
29/09/2020,17.44,17.53,17.13,17.16,-0.22,-1.27,10908951
28/09/2020,17.55,17.57,17.29,17.38,-0.2,-1.14,7657901
25/09/2020,17.14,17.6,17.03,17.58,1.21,7.39,24029088
24/09/2020,16.1,16.43,16,16.37,-0.02,-0.12,11388863
23/09/2020,16.19,16.41,16.13,16.39,0.34,2.12,11254296
22/09/2020,16.2,16.2,16,16.05,-0.35,-2.13,12549082
21/09/2020,16.6,16.73,16.38,16.4,-0.24,-1.44,12899361
18/09/2020,16.83,16.83,16.64,16.64,-0.17,-1.01,17452655
17/09/2020,16.72,16.91,16.7,16.81,0.05,0.3,10811678
16/09/2020,16.82,16.85,16.625,16.76,0.04,0.24,9339611
15/09/2020,16.9,16.92,16.7,16.72,-0.25,-1.47,12186948
14/09/2020,17,17.14,16.9,16.97,0.16,0.95,5355453
11/09/2020,16.83,16.94,16.72,16.81,-0.19,-1.12,8260320
10/09/2020,17.22,17.23,16.9,17,-0.07,-0.41,8277721
09/09/2020,17.18,17.2,17.02,17.07,-0.59,-3.34,12128116
08/09/2020,17.5,17.66,17.34,17.66,0.28,1.61,9038899
07/09/2020,17.08,17.48,16.99,17.38,0.32,1.88,8196692
04/09/2020,17.3,17.3,17.05,17.06,-0.54,-3.07,9602257
03/09/2020,17.52,17.76,17.5,17.6,0.28,1.62,8624549
02/09/2020,17.13,17.36,17.09,17.32,0.27,1.58,7292564
01/09/2020,17.34,17.34,16.95,17.05,-0.49,-2.79,12363966
31/08/2020,17.52,17.72,17.51,17.54,-0.02,-0.11,8423110
28/08/2020,17.45,17.76,17.43,17.56,0.16,0.92,10101707
27/08/2020,17.51,17.58,17.37,17.4,-0.22,-1.25,8178044
26/08/2020,17.76,17.77,17.39,17.62,-0.23,-1.29,8369575
25/08/2020,17.45,17.925,17.4,17.85,0.74,4.32,15007344
24/08/2020,17.16,17.21,17.03,17.11,-0.12,-0.7,6834694
21/08/2020,17.35,17.72,17.16,17.23,-0.03,-0.17,9005563
20/08/2020,17.2,17.38,17.1,17.26,-0.14,-0.8,11129129
