Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.74,4.74,4.62,4.69,-0.09,-1.88,5312945
29/01/2021,4.99,5.02,4.76,4.78,-0.07,-1.44,4488445
28/01/2021,4.72,5.04,4.66,4.85,0.07,1.46,9646959
27/01/2021,4.78,4.89,4.75,4.78,0.01,0.21,5052066
25/01/2021,4.92,4.93,4.73,4.77,-0.19,-3.83,5565989
22/01/2021,5.03,5.03,4.92,4.96,-0.08,-1.59,2444275
21/01/2021,4.9,5.04,4.85,5.04,0.16,3.28,3764570
20/01/2021,4.91,4.94,4.84,4.88,-0.03,-0.61,2188269
19/01/2021,4.81,4.92,4.75,4.91,0.08,1.66,3598027
18/01/2021,4.87,4.875,4.77,4.83,-0.06,-1.23,2567359
15/01/2021,4.94,5.02,4.88,4.89,-0.04,-0.81,2012874
14/01/2021,4.8,4.95,4.76,4.93,0.11,2.28,2415656
13/01/2021,4.82,4.86,4.78,4.82,0.04,0.84,2602058
12/01/2021,4.88,4.91,4.78,4.78,-0.12,-2.45,3726006
11/01/2021,5.01,5.05,4.88,4.9,-0.12,-2.39,3929898
08/01/2021,5.07,5.07,5,5.02,-0.06,-1.18,2686601
07/01/2021,5.13,5.15,5.06,5.08,0.03,0.59,2479708
06/01/2021,5.1,5.17,5.01,5.05,0.03,0.6,3605620
05/01/2021,5.06,5.095,5,5.02,-0.12,-2.33,2627817
04/01/2021,5.02,5.18,4.95,5.14,0.07,1.38,4153683
31/12/2020,5.2,5.23,5.06,5.07,-0.19,-3.61,3631621
30/12/2020,5.27,5.33,5.2,5.26,-0.06,-1.13,4396777
29/12/2020,5.16,5.33,5.16,5.32,0.23,4.52,4172230
24/12/2020,5.18,5.23,5.09,5.09,0.07,1.39,3811821
23/12/2020,4.89,5.035,4.88,5.02,0.22,4.58,4713284
22/12/2020,4.89,4.93,4.79,4.8,-0.2,-4,5397597
21/12/2020,4.75,5.02,4.68,5,-0.02,-0.4,10163434
18/12/2020,4.95,5.03,4.74,5.02,-0.09,-1.76,13000444
17/12/2020,5.29,5.3,5.07,5.11,-0.16,-3.04,4768435
16/12/2020,5.1,5.38,5.1,5.27,0.24,4.77,6218940
15/12/2020,5.16,5.16,5,5.03,-0.13,-2.52,4270070
14/12/2020,5.23,5.23,4.98,5.16,-0.07,-1.34,7196303
11/12/2020,5.2,5.3,5.18,5.23,-0.02,-0.38,4022388
