Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
02/02/2021,55.09,55.56,54.2,55.15,-0.07,-0.13,2807822
01/02/2021,54.29,55.3,54.16,55.22,0.61,1.12,2469550
29/01/2021,55.4,55.57,54.61,54.61,-0.19,-0.35,3128283
28/01/2021,54.41,55.25,54.35,54.8,-0.45,-0.81,3200180
27/01/2021,54.4,55.43,54.34,55.25,0.91,1.67,2508367
25/01/2021,53.61,54.48,53.6,54.34,0.93,1.74,1628968
22/01/2021,52.8,53.88,52.4,53.41,1.17,2.24,4113964
21/01/2021,51.8,52.31,51.62,52.24,0.79,1.54,2709902
20/01/2021,51.25,51.78,51.01,51.45,0.25,0.49,1506892
19/01/2021,50.55,51.29,50.54,51.2,0.95,1.89,1520092
18/01/2021,50.22,50.6,50.16,50.25,0.02,0.04,898916
15/01/2021,50.43,50.64,50.14,50.23,-0.55,-1.08,1210688
14/01/2021,50.85,50.99,50.44,50.78,-0.32,-0.63,1163843
13/01/2021,51.65,51.75,50.94,51.1,-0.28,-0.54,1195461
12/01/2021,51.35,51.68,51,51.38,-0.01,-0.02,1450135
11/01/2021,52,52.2,51.18,51.39,-0.46,-0.89,1192590
08/01/2021,51.43,51.85,50.95,51.85,0.9,1.77,1422343
07/01/2021,51.19,51.19,50.58,50.95,0.46,0.91,2321196
06/01/2021,50.8,51.475,50.35,50.49,-0.76,-1.48,1678021
05/01/2021,50.86,51.47,50.71,51.25,-0.26,-0.5,1406215
04/01/2021,50.78,51.54,50.73,51.51,1.11,2.2,1247952
31/12/2020,51.22,51.455,50.4,50.4,-0.97,-1.89,910373
30/12/2020,51.08,51.39,50.98,51.37,0.04,0.08,751432
29/12/2020,51.6,51.78,51.07,51.33,0.23,0.45,563368
24/12/2020,51.55,51.56,50.94,51.1,-0.14,-0.27,410335
23/12/2020,51.41,51.63,51.1,51.24,0.34,0.67,940097
22/12/2020,51.14,51.49,50.695,50.9,-0.4,-0.78,1602976
21/12/2020,51.2,51.88,51.2,51.3,0.09,0.18,1677816
18/12/2020,51.3,51.89,51.21,51.21,-0.41,-0.79,6529570
17/12/2020,51.44,51.91,51.23,51.62,0.53,1.04,3700222
16/12/2020,50.97,51.56,50.86,51.09,0.12,0.24,1902028
15/12/2020,51.24,51.635,50.84,50.97,0.03,0.06,2215891
14/12/2020,49.85,51.29,49.84,50.94,1.35,2.72,2111216
11/12/2020,49.78,49.95,49.51,49.59,-0.55,-1.1,1757305
10/12/2020,50.22,50.42,49.91,50.14,-0.11,-0.22,1848087
09/12/2020,49.61,50.46,49.55,50.25,0.78,1.58,1839643
08/12/2020,49.05,49.55,49.05,49.47,0.06,0.12,2011804
07/12/2020,49.6,49.76,49.08,49.41,-0.03,-0.06,2010262
04/12/2020,49.96,49.98,49.37,49.44,-0.32,-0.64,1205735
03/12/2020,49.85,50.05,49.63,49.76,-0.51,-1.01,1764932
02/12/2020,50.2,50.52,49.97,50.27,0.14,0.28,2300008
01/12/2020,49.32,50.365,49.26,50.13,0.68,1.38,2423969
30/11/2020,50.25,50.3,49.24,49.45,-0.44,-0.88,4908052
27/11/2020,49.69,50.14,49.68,49.89,0.06,0.12,1629376
26/11/2020,50.06,50.3,49.8,49.83,0.16,0.32,1361029
25/11/2020,50.06,50.67,49.67,49.67,-0.25,-0.5,2395463
24/11/2020,49.29,50.09,49.07,49.92,0.88,1.79,1942992
23/11/2020,49.44,49.58,49.04,49.04,-0.12,-0.24,1263187
20/11/2020,49.8,49.93,49.11,49.16,-0.29,-0.59,3873930
19/11/2020,49.13,49.64,48.59,49.45,0.78,1.6,3080463
18/11/2020,47.71,48.81,47.71,48.67,0.68,1.42,2204947
17/11/2020,48.71,48.95,47.75,47.99,-0.53,-1.09,3549552
16/11/2020,48.85,49,48.52,48.52,0,0,39718
13/11/2020,49.1,49.18,48.26,48.52,-0.26,-0.53,1997136
12/11/2020,48.67,49.59,48.56,48.78,1.21,2.54,3371381
11/11/2020,47.31,47.605,47.04,47.57,0.16,0.34,3444090
10/11/2020,49.16,49.2,46.98,47.41,-1.42,-2.91,3857549
09/11/2020,47.82,48.97,47.81,48.83,1.11,2.33,2084707
06/11/2020,48,48.06,47.525,47.72,0.03,0.06,1476040
05/11/2020,47.38,47.91,47.3,47.69,0.68,1.45,1727392
04/11/2020,46.86,47.17,46.18,47.01,-0.08,-0.17,2072367
03/11/2020,46.03,47.4,46.02,47.09,0.84,1.82,1912302
02/11/2020,45.9,46.34,45.63,46.25,0.29,0.63,1236445
30/10/2020,45.51,46.23,45.45,45.96,-0.07,-0.15,2964410
29/10/2020,46.57,46.62,45.85,46.03,-0.77,-1.65,1620247
28/10/2020,46.07,47.11,46.07,46.8,0.32,0.69,1876375
27/10/2020,46.77,47.14,46.01,46.48,-0.43,-0.92,2209330
26/10/2020,47.12,47.67,46.81,46.91,-0.01,-0.02,1528340
23/10/2020,47,47.27,46.83,46.92,-0.19,-0.4,1478021
22/10/2020,46.5,47.25,46.28,47.11,-0.09,-0.19,1407113
21/10/2020,47.7,47.89,46.95,47.2,-0.73,-1.52,2335143
20/10/2020,47.82,48.5,47.82,47.93,-0.28,-0.58,1415734
19/10/2020,48.42,48.67,48.195,48.21,0.01,0.02,1059301
16/10/2020,47.8,48.47,47.8,48.2,0.26,0.54,2470460
15/10/2020,48.16,48.24,47.59,47.94,0.07,0.15,1649536
14/10/2020,47.71,47.98,47.59,47.87,0.22,0.46,1459305
13/10/2020,47.17,47.99,47.01,47.65,0.84,1.79,1836334
12/10/2020,46.5,46.92,46.27,46.81,0.33,0.71,1612508
09/10/2020,46.76,46.9,46.405,46.48,-0.27,-0.58,1431346
08/10/2020,46.74,46.83,45.87,46.75,0.71,1.54,2311558
07/10/2020,44.69,46.245,44.69,46.04,1.11,2.47,2708812
06/10/2020,45.15,45.24,44.35,44.93,-0.33,-0.73,1760243
05/10/2020,45.54,45.7,44.86,45.26,0.68,1.53,1171511
02/10/2020,44.4,44.9,44.33,44.58,0.02,0.04,1916571
01/10/2020,44.72,45.19,44.54,44.56,0.14,0.32,2026628
30/09/2020,45.01,45.5,44.34,44.42,-1.24,-2.72,4069677
29/09/2020,45.83,45.95,45.41,45.66,0.13,0.29,1625698
28/09/2020,45.75,46,45.53,45.53,-0.22,-0.48,991328
25/09/2020,45.25,45.98,45.22,45.75,0.14,0.31,1401832
