Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
14/10/2019,39.5,39.8,39.45,39.66,0.4,1.02,1372877
15/10/2019,39.5,39.84,39.37,39.53,-0.13,-0.33,1625773
16/10/2019,40,40.65,39.8,40.65,1.12,2.83,3425360
17/10/2019,40.8,40.88,40.36,40.45,-0.2,-0.49,1816607
18/10/2019,40.4,40.66,40.04,40.29,-0.16,-0.4,2488072
21/10/2019,40.25,40.74,40.18,40.71,0.42,1.04,1580455
22/10/2019,40.79,40.79,40.25,40.32,-0.39,-0.96,2064696
23/10/2019,40.33,40.46,39.98,40.27,-0.05,-0.12,1342135
24/10/2019,40.62,40.65,40.34,40.56,0.29,0.72,1242904
25/10/2019,40.7,41.14,40.65,41.05,0.49,1.21,2616857
28/10/2019,41.1,41.28,40.89,41,-0.05,-0.12,1050828
29/10/2019,41,41.05,40.85,40.91,-0.09,-0.22,1377672
30/10/2019,40.5,40.66,40.13,40.23,-0.68,-1.66,2067347
31/10/2019,39.99,40.22,39.74,39.76,-0.47,-1.17,2939240
01/11/2019,39.91,40.06,39.75,39.96,0.2,0.5,1303011
04/11/2019,40.22,40.35,40.08,40.2,0.24,0.6,1443060
05/11/2019,40.63,40.68,40.29,40.41,0.21,0.52,1569102
06/11/2019,40.03,40.35,39.76,39.85,-0.56,-1.39,1953200
07/11/2019,39.81,40.83,39.81,40.82,0.97,2.43,2269755
08/11/2019,40.9,41.14,40.57,40.81,-0.01,-0.02,1508008
11/11/2019,41.09,41.33,40.99,41.26,0.45,1.1,2171659
12/11/2019,41.5,41.56,40.99,41.21,-0.05,-0.12,1230611
13/11/2019,41.05,41.28,40.68,40.77,-0.44,-1.07,1610438
14/11/2019,40.8,41.295,40.71,41.16,0.39,0.96,1690494
15/11/2019,41.41,42.13,41.41,42.01,0.85,2.07,2685859
18/11/2019,42.25,42.32,41.94,42.17,0.16,0.38,1248359
19/11/2019,42.3,42.65,42.21,42.58,0.41,0.97,2500333
20/11/2019,42.12,42.48,42.07,42.23,-0.35,-0.82,1892467
21/11/2019,41.8,42.23,41.79,42.15,-0.08,-0.19,1876997
22/11/2019,42.45,42.46,41.99,42.1,-0.05,-0.12,1647958
25/11/2019,42.2,42.35,41.99,42.05,-0.05,-0.12,1488779
26/11/2019,42.43,42.47,41.78,41.78,-0.27,-0.64,5455118
27/11/2019,42,42.51,41.92,42.4,0.62,1.48,2340553
28/11/2019,42.85,42.85,42.35,42.41,0.01,0.02,2028302
29/11/2019,42.74,42.74,42.37,42.37,-0.04,-0.09,2862420
02/12/2019,42.3,42.65,42,42.34,-0.03,-0.07,2424458
03/12/2019,41.75,42.07,41.07,41.23,-1.11,-2.62,3092397
04/12/2019,40.65,40.91,40.23,40.34,-0.89,-2.16,4216318
05/12/2019,40.44,40.91,40.44,40.9,0.56,1.39,1751718
06/12/2019,40.96,41.13,40.72,40.91,0.01,0.02,1307464
09/12/2019,41,41.07,40.675,40.83,-0.08,-0.2,1444917
10/12/2019,40.94,40.96,40.54,40.63,-0.2,-0.49,1542878
11/12/2019,40.98,41.1,40.58,40.92,0.29,0.71,1972994
12/12/2019,40.81,40.91,40.55,40.83,-0.09,-0.22,8101144
13/12/2019,41.24,41.25,40.86,40.95,0.12,0.29,1838133
16/12/2019,41.15,41.965,41.07,41.75,0.8,1.95,2150965
17/12/2019,41.94,42.2,41.78,41.78,0.03,0.07,2475525
18/12/2019,42.18,42.32,41.94,42.05,0.27,0.65,3717470
19/12/2019,42.09,42.28,41.67,41.9,-0.15,-0.36,4442188
20/12/2019,41.63,41.87,41.43,41.78,-0.12,-0.29,6896012
23/12/2019,41.75,41.9,41.59,41.85,0.07,0.17,1250562
24/12/2019,41.57,41.79,41.52,41.79,-0.06,-0.14,719515
27/12/2019,41.79,41.86,41.67,41.81,0.02,0.05,945666
30/12/2019,41.96,42,41.72,41.98,0.17,0.41,813497
31/12/2019,41.67,41.78,41.05,41.4,-0.58,-1.38,1982509
02/01/2020,40.95,41.58,40.95,41.44,0.04,0.1,995568
03/01/2020,42.27,42.34,41.81,41.84,0.4,0.97,1307576
06/01/2020,41.81,42.3,41.6,42.2,0.36,0.86,1876433
07/01/2020,42.98,43.3,42.83,43.07,0.87,2.06,2346016
08/01/2020,43.16,43.19,42.34,42.92,-0.15,-0.35,1765505
09/01/2020,43.16,43.485,42.99,43.29,0.37,0.86,2191650
10/01/2020,43.5,43.99,43.47,43.9,0.61,1.41,1634024
13/01/2020,43.41,43.66,43.27,43.6,-0.3,-0.68,1110938
14/01/2020,43.45,43.58,43.06,43.43,-0.17,-0.39,2384331
15/01/2020,43.6,43.82,43.32,43.67,0.24,0.55,2993338
16/01/2020,44.29,44.3,43.76,43.99,0.32,0.73,2268219
17/01/2020,44.39,44.52,44.23,44.26,0.27,0.61,1756787
20/01/2020,44.02,44.16,43.65,43.92,-0.34,-0.77,1739888
21/01/2020,44,44.12,43.81,44.09,0.17,0.39,1308202
22/01/2020,44.54,44.9,44.36,44.77,0.68,1.54,2473427
23/01/2020,45.25,45.27,44.42,44.52,-0.25,-0.56,1706450
24/01/2020,45.19,45.23,44.61,44.91,0.39,0.88,1213587
28/01/2020,44.9,44.97,44.24,44.32,-0.59,-1.31,1831837
29/01/2020,44.7,45.05,44.61,44.88,0.56,1.26,2125514
30/01/2020,45.29,45.49,45.02,45.49,0.61,1.36,2732850
31/01/2020,45.1,45.53,45.1,45.21,-0.28,-0.62,5640134
03/02/2020,44.8,45.21,44.55,45.09,-0.12,-0.27,1520087
