Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.32,2.4,2.29,2.39,0.04,1.7,1325631
29/01/2021,2.4,2.41,2.33,2.35,0.05,2.17,2800538
28/01/2021,2.33,2.4,2.27,2.3,-0.07,-2.95,2560940
27/01/2021,2.4,2.42,2.335,2.37,-0.02,-0.84,1832938
25/01/2021,2.42,2.42,2.35,2.39,-0.01,-0.42,1099528
22/01/2021,2.46,2.47,2.38,2.4,-0.07,-2.83,1807852
21/01/2021,2.45,2.5,2.405,2.47,0.06,2.49,3251940
20/01/2021,2.36,2.42,2.305,2.41,0.05,2.12,2291435
19/01/2021,2.39,2.4,2.325,2.36,0.02,0.85,1014163
18/01/2021,2.39,2.4,2.32,2.34,-0.06,-2.5,1164069
15/01/2021,2.42,2.43,2.37,2.4,-0.03,-1.23,1263602
14/01/2021,2.46,2.51,2.42,2.43,-0.07,-2.8,1883093
13/01/2021,2.49,2.52,2.46,2.5,0.01,0.4,1637905
12/01/2021,2.44,2.52,2.43,2.49,0.06,2.47,2041939
11/01/2021,2.54,2.55,2.41,2.43,-0.23,-8.65,2317472
08/01/2021,2.64,2.725,2.635,2.66,0,0,1818523
07/01/2021,2.69,2.71,2.64,2.66,-0.08,-2.92,2119504
06/01/2021,2.78,2.78,2.71,2.74,-0.06,-2.14,1818628
05/01/2021,2.73,2.805,2.73,2.8,0.1,3.7,2857135
04/01/2021,2.65,2.72,2.63,2.7,0.06,2.27,1219717
31/12/2020,2.66,2.67,2.59,2.64,0,0,1725434
30/12/2020,2.61,2.64,2.56,2.64,0.03,1.15,2499260
29/12/2020,2.59,2.65,2.55,2.61,0.03,1.16,2389893
24/12/2020,2.57,2.6,2.53,2.58,0.01,0.39,1138361
23/12/2020,2.65,2.65,2.515,2.57,-0.08,-3.02,3134451
22/12/2020,2.7,2.73,2.63,2.65,-0.08,-2.93,2460820
21/12/2020,2.69,2.77,2.68,2.73,0.07,2.63,3152878
18/12/2020,2.74,2.78,2.65,2.66,-0.13,-4.66,32373489
17/12/2020,2.6,2.87,2.6,2.79,0.165,6.29,13049223
15/12/2020,2.7,2.7,2.62,2.625,-0.155,-5.58,1004186
14/12/2020,2.72,2.89,2.64,2.78,0,0,12599271
11/12/2020,2.55,2.82,2.53,2.78,0.22,8.59,5907652
10/12/2020,2.62,2.62,2.5,2.56,-0.1,-3.76,5169107
09/12/2020,2.66,2.7,2.61,2.66,0.02,0.76,2597012
08/12/2020,2.62,2.65,2.55,2.64,0.09,3.53,2183364
07/12/2020,2.56,2.6,2.52,2.55,-0.01,-0.39,1970968
04/12/2020,2.5,2.58,2.49,2.56,0.06,2.4,2586617
03/12/2020,2.58,2.58,2.49,2.5,-0.05,-1.96,2265411
02/12/2020,2.5,2.58,2.475,2.55,0.16,6.69,4253012
01/12/2020,2.29,2.42,2.26,2.39,0.09,3.91,3225970
30/11/2020,2.27,2.3,2.21,2.3,0.03,1.32,5133249
27/11/2020,2.24,2.27,2.215,2.27,0.04,1.79,1995207
26/11/2020,2.18,2.24,2.14,2.23,0.1,4.69,3143836
25/11/2020,2.15,2.19,2.1,2.13,-0.1,-4.48,4059332
24/11/2020,2.29,2.29,2.17,2.23,-0.13,-5.51,3693162
23/11/2020,2.4,2.41,2.34,2.36,0,0,2072465
20/11/2020,2.39,2.39,2.31,2.36,-0.01,-0.42,1800376
19/11/2020,2.38,2.41,2.35,2.37,-0.03,-1.25,2186600
18/11/2020,2.42,2.45,2.38,2.4,-0.02,-0.83,2863312
17/11/2020,2.51,2.51,2.41,2.42,-0.11,-4.35,3136412
16/11/2020,2.54,2.55,2.52,2.53,0,0,66168
13/11/2020,2.45,2.53,2.44,2.53,0.09,3.69,2163055
12/11/2020,2.52,2.55,2.42,2.44,-0.09,-3.56,2794066
11/11/2020,2.65,2.65,2.51,2.53,-0.11,-4.17,3132325
10/11/2020,2.7,2.7,2.6,2.64,-0.25,-8.65,4064102
09/11/2020,2.89,2.98,2.86,2.89,0.11,3.96,3741235
06/11/2020,2.74,2.83,2.72,2.78,0.18,6.92,4888290
05/11/2020,2.66,2.67,2.56,2.6,-0.06,-2.26,1671680
04/11/2020,2.68,2.72,2.635,2.66,-0.02,-0.75,3356415
03/11/2020,2.61,2.72,2.61,2.68,0.11,4.28,3538355
02/11/2020,2.59,2.6,2.54,2.57,0,0,1618664
30/10/2020,2.54,2.59,2.54,2.57,0.01,0.39,2016067
29/10/2020,2.63,2.66,2.495,2.56,-0.25,-8.9,5441238
28/10/2020,2.7,2.83,2.69,2.81,0.12,4.46,2771334
27/10/2020,2.78,2.785,2.665,2.69,-0.11,-3.93,2345236
26/10/2020,2.77,2.83,2.76,2.8,0.03,1.08,3653688
