Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,1.45,1.53,1.42,1.53,0.035,2.34,18665384
29/01/2021,1.575,1.585,1.465,1.495,-0.06,-3.86,19450353
28/01/2021,1.54,1.605,1.51,1.555,0,0,18847330
27/01/2021,1.61,1.635,1.53,1.555,-0.03,-1.89,17115734
25/01/2021,1.61,1.64,1.585,1.585,-0.01,-0.63,7260617
22/01/2021,1.62,1.655,1.585,1.595,-0.04,-2.45,12257016
21/01/2021,1.69,1.695,1.6,1.635,-0.045,-2.68,21920321
20/01/2021,1.77,1.78,1.66,1.68,-0.08,-4.55,20577587
19/01/2021,1.775,1.795,1.73,1.76,0.005,0.28,9666925
18/01/2021,1.785,1.81,1.71,1.755,-0.03,-1.68,10728148
15/01/2021,1.84,1.86,1.77,1.785,-0.02,-1.11,15113621
14/01/2021,1.82,1.87,1.74,1.805,0.055,3.14,23307613
13/01/2021,1.63,1.76,1.625,1.75,0.15,9.38,23035018
12/01/2021,1.64,1.65,1.6,1.6,-0.025,-1.54,10701185
11/01/2021,1.595,1.725,1.59,1.625,0.045,2.85,16790840
08/01/2021,1.6,1.62,1.575,1.58,-0.01,-0.63,11927251
07/01/2021,1.62,1.64,1.58,1.59,-0.025,-1.55,13928319
06/01/2021,1.66,1.69,1.605,1.615,-0.025,-1.52,12150254
05/01/2021,1.635,1.6675,1.62,1.64,-0.015,-0.91,7028063
04/01/2021,1.63,1.665,1.6,1.655,0.01,0.61,10846919
31/12/2020,1.66,1.67,1.625,1.645,-0.005,-0.3,5840427
30/12/2020,1.66,1.67,1.62,1.65,-0.025,-1.49,9569411
29/12/2020,1.68,1.7,1.65,1.675,0.015,0.9,7491780
24/12/2020,1.66,1.69,1.65,1.66,0.015,0.91,7252200
23/12/2020,1.61,1.655,1.58,1.645,0.03,1.86,7854594
22/12/2020,1.655,1.655,1.585,1.615,-0.045,-2.71,10211190
21/12/2020,1.635,1.6775,1.625,1.66,0.015,0.91,17430180
18/12/2020,1.58,1.65,1.53,1.645,0.09,5.79,28560933
