Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,11.34,11.34,9.54,10.18,-1.24,-10.86,7995447
29/01/2021,11.81,11.9,11.37,11.42,0.08,0.71,1423079
28/01/2021,11.42,11.49,11.16,11.34,-0.29,-2.49,1332754
27/01/2021,11.88,12,11.63,11.63,-0.51,-4.2,1480493
25/01/2021,12.26,12.33,12.02,12.14,-0.15,-1.22,1180199
22/01/2021,12.4,12.46,12.27,12.29,-0.2,-1.6,1283667
21/01/2021,12.31,12.53,12.31,12.49,0.05,0.4,1529306
20/01/2021,12.3,12.59,12.3,12.44,0.14,1.14,1442309
19/01/2021,12.65,12.66,12.27,12.3,-0.35,-2.77,2151146
18/01/2021,12.35,12.7,12.295,12.65,0,0,1576341
15/01/2021,12.8,12.98,12.6,12.65,-0.15,-1.17,3080642
14/01/2021,12.94,12.94,12.65,12.8,-0.14,-1.08,2491029
13/01/2021,12.5,12.98,12.5,12.94,0.61,4.95,2704872
12/01/2021,12.55,12.64,12.29,12.33,-0.19,-1.52,1638813
11/01/2021,12.93,12.93,12.45,12.52,-0.16,-1.26,1205541
08/01/2021,12.98,12.98,12.61,12.68,-0.08,-0.63,866309
07/01/2021,12.46,12.81,12.44,12.76,0.55,4.5,2338663
06/01/2021,12.06,12.285,11.88,12.21,0.42,3.56,1957535
05/01/2021,11.31,11.87,11.28,11.79,0.17,1.46,1913694
04/01/2021,11.49,11.68,11.41,11.62,0.13,1.13,654903
31/12/2020,11.6,11.68,11.48,11.49,-0.13,-1.12,437273
30/12/2020,11.48,11.7,11.36,11.62,0,0,1628619
29/12/2020,11.55,11.67,11.5,11.62,0.13,1.13,843651
24/12/2020,11.45,11.65,11.42,11.49,0.09,0.79,460801
23/12/2020,11.2,11.44,11.175,11.4,0.2,1.79,1074272
22/12/2020,11.24,11.33,11.125,11.2,-0.21,-1.84,1220839
21/12/2020,11.35,11.44,11.19,11.41,-0.22,-1.89,3714319
18/12/2020,12.13,12.3,11.61,11.63,-0.42,-3.49,4617196
17/12/2020,11.99,12.085,11.75,12.05,0.18,1.52,1443476
16/12/2020,12.07,12.18,11.85,11.87,-0.01,-0.08,1358387
15/12/2020,11.71,11.975,11.66,11.88,0.04,0.34,1378941
14/12/2020,12.05,12.07,11.74,11.84,-0.24,-1.99,1890232
11/12/2020,12.3,12.42,11.99,12.08,-0.15,-1.23,1831554
10/12/2020,12.5,12.56,12.14,12.23,-0.36,-2.86,2815240
09/12/2020,12.48,12.68,12.41,12.59,0.17,1.37,1279800
08/12/2020,12.68,12.68,12.41,12.42,-0.38,-2.97,1336057
07/12/2020,12.75,12.96,12.71,12.8,0.26,2.07,1989079
04/12/2020,12.69,12.72,12.53,12.54,-0.06,-0.48,1038237
03/12/2020,12.65,12.82,12.54,12.6,0.11,0.88,1790055
02/12/2020,12.64,12.69,12.42,12.49,-0.51,-3.92,3562719
01/12/2020,12.75,13,12.6,13,0.1,0.78,2184889
30/11/2020,13.17,13.2,12.9,12.9,-0.07,-0.54,2749654
27/11/2020,13,13.08,12.81,12.97,-0.19,-1.44,2121362
26/11/2020,13.85,13.85,12.97,13.16,-0.79,-5.66,3199165
25/11/2020,13.65,14.01,13.51,13.95,0.66,4.97,3265441
24/11/2020,12.92,13.29,12.92,13.29,0.69,5.48,3034274
23/11/2020,12.41,12.67,12.38,12.6,0.47,3.87,1924947
20/11/2020,12.19,12.25,12.05,12.13,0.14,1.17,2858876
19/11/2020,11.89,12.15,11.78,11.99,0.28,2.39,2762451
