Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,40.48,41.3,40.4,41.05,0.19,0.47,2027699
29/01/2021,40.97,41.63,40.8,40.86,-0.14,-0.34,2087202
28/01/2021,41.4,41.73,40.61,41,-0.87,-2.08,2790062
27/01/2021,41.55,42.05,41.25,41.87,0.66,1.6,3049835
25/01/2021,41,41.29,40.92,41.21,0.45,1.1,1517029
22/01/2021,40.8,40.99,40.51,40.76,0.45,1.12,3097272
21/01/2021,40,40.4,39.95,40.31,0.8,2.02,1997349
20/01/2021,39.5,39.77,39.34,39.51,-0.02,-0.05,1434432
19/01/2021,39.64,39.81,39.26,39.53,0.22,0.56,1440482
18/01/2021,39.56,39.82,39.25,39.31,-0.22,-0.56,1193572
15/01/2021,39.41,39.63,39.25,39.53,-0.17,-0.43,1542888
14/01/2021,39.5,39.9,39.32,39.7,0.39,0.99,1463737
13/01/2021,39.53,39.63,38.97,39.31,-0.59,-1.48,2340294
12/01/2021,39.79,39.99,39.51,39.9,-0.01,-0.03,1726290
11/01/2021,40.6,40.64,39.72,39.91,-0.63,-1.55,1698848
08/01/2021,40.25,40.54,39.92,40.54,0.34,0.85,1417654
07/01/2021,40,40.48,39.76,40.2,0.55,1.39,2037559
06/01/2021,39.7,39.99,39.44,39.65,-0.52,-1.29,2430064
05/01/2021,39.61,40.17,39.58,40.17,0.16,0.4,1508505
04/01/2021,39.7,40.21,39.68,40.01,0.7,1.78,1234489
31/12/2020,39.65,39.84,39.31,39.31,-0.58,-1.45,896604
30/12/2020,39.61,39.89,39.36,39.89,0.17,0.43,1134542
29/12/2020,40.01,40.18,39.6,39.72,-0.15,-0.38,727548
24/12/2020,40.15,40.15,39.75,39.87,0.08,0.2,455039
23/12/2020,39.68,39.97,39.58,39.79,0.39,0.99,1646015
22/12/2020,39.55,39.69,39.1,39.4,-0.47,-1.18,2190978
21/12/2020,40.08,40.42,39.62,39.87,-0.12,-0.3,1585938
18/12/2020,39.78,40.29,39.54,39.99,0.53,1.34,4747405
17/12/2020,39.67,39.81,39.32,39.46,0.07,0.18,2729470
16/12/2020,39,39.68,38.8,39.39,0.32,0.82,2206689
15/12/2020,38.96,39.55,38.96,39.07,-0.1,-0.26,2266428
14/12/2020,39.43,39.54,39.15,39.17,0.26,0.67,1581009
