Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
11/10/2019,37.2,37.29,36.85,37.11,0.09,0.24,2111628
14/10/2019,37.26,37.63,37.21,37.27,0.16,0.43,2620114
15/10/2019,37.15,37.54,37.12,37.38,0.11,0.3,1119571
16/10/2019,37.94,38.31,37.56,38.31,0.93,2.49,3083220
17/10/2019,38.4,38.42,37.76,37.93,-0.38,-0.99,4938962
18/10/2019,37.52,37.81,37.3,37.49,-0.44,-1.16,2303742
21/10/2019,37.34,37.48,37.18,37.48,-0.01,-0.03,2543011
22/10/2019,37.56,37.61,37.35,37.45,-0.03,-0.08,1824635
23/10/2019,37.4,37.45,36.94,37.33,-0.12,-0.32,1479598
24/10/2019,37.51,37.61,37.43,37.55,0.22,0.59,1696525
25/10/2019,37.6,38.04,37.6,37.93,0.38,1.01,2652870
28/10/2019,38.05,38.16,37.79,37.8,-0.13,-0.34,1518918
29/10/2019,37.92,38.145,37.69,37.73,-0.07,-0.19,1736083
30/10/2019,37.4,37.89,37,37.2,-0.53,-1.4,2652561
31/10/2019,37.17,37.73,37.12,37.32,0.12,0.32,2129912
01/11/2019,37.3,37.785,37.14,37.66,0.34,0.91,2183795
04/11/2019,37.95,38.06,37.49,37.71,0.05,0.13,1788480
05/11/2019,37.94,37.94,37.49,37.69,-0.02,-0.05,1530417
06/11/2019,37.95,37.95,37.34,37.37,-0.32,-0.85,1814904
07/11/2019,37.27,38.35,37.27,38.19,0.82,2.19,3318256
08/11/2019,38.22,38.27,37.5,37.68,-0.51,-1.34,2410986
11/11/2019,37.95,38.12,37.74,37.99,0.31,0.82,2974930
12/11/2019,38,38.28,37.97,38.05,0.06,0.16,2021392
13/11/2019,38,38.295,37.78,37.8,-0.25,-0.66,2401478
14/11/2019,38.06,38.955,37.95,38.72,0.92,2.43,2691154
15/11/2019,38.74,39.185,38.64,38.96,0.24,0.62,1677866
18/11/2019,38.91,38.99,38.57,38.9,-0.06,-0.15,1205963
19/11/2019,38.96,39.52,38.81,39.37,0.47,1.21,5065594
20/11/2019,38.99,39.12,38.62,38.79,-0.58,-1.47,2045036
21/11/2019,38.42,38.75,38.17,38.54,-0.25,-0.64,2123881
22/11/2019,38.6,39.29,38.55,39.08,0.54,1.4,2580693
25/11/2019,39.09,39.39,38.87,39.02,-0.06,-0.15,1553025
26/11/2019,39.25,39.44,39.1,39.18,0.16,0.41,4794441
27/11/2019,39.18,39.745,39.1,39.68,0.5,1.28,2193269
28/11/2019,40.01,40.02,39.57,39.65,-0.03,-0.08,2934351
29/11/2019,39.7,40.01,39.62,39.76,0.11,0.28,4697442
02/12/2019,39.7,40.04,39.67,39.77,0.01,0.03,3342001
