Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,24.1,24.65,23.65,24.55,0.08,0.33,3585702
29/01/2021,25.18,25.19,24.265,24.47,-0.67,-2.67,4127282
28/01/2021,25,25.2,24.69,25.14,-0.43,-1.68,3700866
27/01/2021,25.72,25.74,25.3,25.57,-0.76,-2.89,4235415
25/01/2021,26.38,26.44,26.13,26.33,-0.23,-0.87,1971780
22/01/2021,26.77,26.77,26.32,26.56,-0.39,-1.45,6465869
21/01/2021,27.5,27.6,26.86,26.95,-0.45,-1.64,3293204
20/01/2021,27.04,27.53,27.03,27.4,0.48,1.78,2540105
19/01/2021,26.75,26.98,26.26,26.92,0.27,1.01,2632227
18/01/2021,26.5,26.66,25.64,26.65,-0.11,-0.41,3275604
15/01/2021,26.9,27.32,26.76,26.76,0.15,0.56,3460378
14/01/2021,26.65,26.89,26.57,26.61,-0.07,-0.26,3980374
13/01/2021,25.81,26.74,25.81,26.68,1.36,5.37,4863491
12/01/2021,25.67,25.87,25.28,25.32,-0.14,-0.55,2763766
11/01/2021,25.3,26,25.22,25.46,0.65,2.62,4579113
08/01/2021,24.41,24.84,24.1,24.81,0.46,1.89,4121678
07/01/2021,23.59,24.4,23.58,24.35,1.17,5.05,5156959
06/01/2021,23.46,23.69,22.96,23.18,0.39,1.71,3911798
05/01/2021,22.79,22.86,22.6,22.79,-0.28,-1.21,2435661
04/01/2021,22.76,23.11,22.72,23.07,0.33,1.45,1821943
31/12/2020,23.12,23.19,22.74,22.74,-0.31,-1.34,1162289
30/12/2020,22.81,23.05,22.72,23.05,0.07,0.3,1574726
29/12/2020,23.03,23.33,22.78,22.98,0.23,1.01,1865070
24/12/2020,23,23.18,22.75,22.75,0.18,0.8,1281928
23/12/2020,22.28,22.62,22.23,22.57,0.25,1.12,1708042
22/12/2020,22.67,22.73,22.21,22.32,-0.72,-3.12,3463881
21/12/2020,23.5,23.52,22.97,23.04,-0.6,-2.54,3976521
18/12/2020,23.63,23.67,23.28,23.64,0.08,0.34,10740488
17/12/2020,23.1,23.56,22.83,23.56,0.68,2.97,5286097
16/12/2020,23,23.15,22.82,22.88,0.18,0.79,2877826
15/12/2020,22.95,22.95,22.63,22.7,-0.49,-2.11,3624988
14/12/2020,23.39,23.39,23.01,23.19,-0.12,-0.51,3113992
11/12/2020,22.9,23.45,22.87,23.31,0.58,2.55,4202924
10/12/2020,22.7,22.8,22.5,22.73,-0.08,-0.35,2829119
09/12/2020,23,23.04,22.67,22.81,-0.3,-1.3,3420809
08/12/2020,22.88,23.19,22.7,23.11,-0.04,-0.17,3801615
07/12/2020,23.21,23.41,23.06,23.15,0.15,0.65,3293429
04/12/2020,23.1,23.13,22.88,23,0.15,0.66,2565930
03/12/2020,22.7,22.9,22.52,22.85,0.43,1.92,3982140
02/12/2020,22.09,22.44,21.92,22.42,0.22,0.99,3976831
01/12/2020,22,22.2,21.71,22.2,-0.17,-0.76,4390639
