Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.58,2.63,2.56,2.59,0.02,0.78,4220260
29/01/2021,2.55,2.6,2.55,2.57,0.02,0.78,4168268
28/01/2021,2.5,2.55,2.49,2.55,0.01,0.39,3124920
27/01/2021,2.55,2.58,2.52,2.54,0,0,2974532
25/01/2021,2.55,2.58,2.51,2.54,0.01,0.4,2954151
22/01/2021,2.52,2.57,2.505,2.53,0.04,1.61,3633947
21/01/2021,2.51,2.52,2.47,2.49,-0.01,-0.4,2232468
20/01/2021,2.5,2.52,2.49,2.5,-0.02,-0.79,2074881
19/01/2021,2.53,2.54,2.51,2.52,0,0,2768193
18/01/2021,2.52,2.54,2.5,2.52,0,0,2150880
15/01/2021,2.51,2.54,2.49,2.52,-0.01,-0.4,2502635
14/01/2021,2.47,2.55,2.47,2.53,0.04,1.61,4369741
13/01/2021,2.54,2.56,2.49,2.49,-0.03,-1.19,3696918
12/01/2021,2.56,2.58,2.52,2.52,-0.03,-1.18,3800434
11/01/2021,2.6,2.61,2.55,2.55,-0.04,-1.54,3639456
08/01/2021,2.65,2.68,2.59,2.59,-0.06,-2.26,5302587
07/01/2021,2.77,2.77,2.645,2.65,-0.07,-2.57,4131300
06/01/2021,2.79,2.79,2.71,2.72,-0.03,-1.09,1969346
05/01/2021,2.71,2.77,2.71,2.75,0,0,3117888
04/01/2021,2.74,2.755,2.71,2.75,0.02,0.73,1401431
31/12/2020,2.79,2.79,2.73,2.73,-0.05,-1.8,1256623
30/12/2020,2.71,2.785,2.7,2.78,-0.05,-1.77,3014202
29/12/2020,2.85,2.86,2.79,2.83,0.01,0.35,3256463
24/12/2020,2.77,2.83,2.76,2.82,0.04,1.44,3123695
23/12/2020,2.76,2.8,2.75,2.78,0.03,1.09,3119818
22/12/2020,2.78,2.785,2.72,2.75,-0.03,-1.08,3459379
21/12/2020,2.77,2.79,2.75,2.78,-0.03,-1.07,3631302
18/12/2020,2.81,2.83,2.77,2.81,-0.02,-0.71,39188714
17/12/2020,2.82,2.84,2.81,2.83,0,0,5844872
16/12/2020,2.85,2.86,2.81,2.83,0,0,3608925
15/12/2020,2.8,2.87,2.8,2.83,0,0,5552244
14/12/2020,2.79,2.85,2.78,2.83,0.07,2.54,4155403
11/12/2020,2.76,2.78,2.74,2.76,-0.02,-0.72,4368455
10/12/2020,2.72,2.8,2.715,2.78,0.04,1.46,6497551
09/12/2020,2.74,2.78,2.73,2.74,-0.03,-1.08,4029095
08/12/2020,2.76,2.78,2.75,2.77,-0.01,-0.36,3175970
07/12/2020,2.79,2.82,2.75,2.78,0.02,0.72,10193237
04/12/2020,2.74,2.78,2.73,2.76,0.06,2.22,6781683
03/12/2020,2.69,2.71,2.67,2.7,0.01,0.37,6102591
02/12/2020,2.7,2.71,2.66,2.69,0,0,1655256
01/12/2020,2.69,2.745,2.68,2.69,0,0,4584653
30/11/2020,2.77,2.77,2.69,2.69,-0.06,-2.18,4160219
27/11/2020,2.75,2.77,2.72,2.75,0.03,1.1,1834791
26/11/2020,2.74,2.74,2.7,2.72,0,0,5113529
25/11/2020,2.73,2.74,2.7,2.72,0,0,3392467
24/11/2020,2.72,2.73,2.71,2.72,0.01,0.37,3518955
23/11/2020,2.71,2.72,2.68,2.71,0.01,0.37,1462244
20/11/2020,2.71,2.74,2.69,2.7,0,0,2559706
19/11/2020,2.66,2.72,2.66,2.7,0,0,3925505
18/11/2020,2.75,2.75,2.7,2.7,-0.02,-0.74,5356578
17/11/2020,2.77,2.77,2.71,2.72,-0.02,-0.73,3730974
16/11/2020,2.74,2.74,2.74,2.74,0.02,0.74,23811
13/11/2020,2.76,2.77,2.71,2.72,-0.02,-0.73,3456759
12/11/2020,2.76,2.78,2.72,2.74,-0.01,-0.36,4849389
11/11/2020,2.7,2.75,2.69,2.75,0.1,3.77,5348602
10/11/2020,2.81,2.86,2.63,2.65,-0.13,-4.68,5957053
09/11/2020,2.78,2.8,2.77,2.78,0.01,0.36,7167841
06/11/2020,2.78,2.79,2.75,2.77,0,0,5123553
05/11/2020,2.75,2.8,2.75,2.77,0.02,0.73,3231623
04/11/2020,2.75,2.76,2.71,2.75,-0.01,-0.36,2517929
03/11/2020,2.72,2.77,2.72,2.76,0.03,1.1,2161099
02/11/2020,2.7,2.74,2.69,2.73,0.05,1.87,2525167
30/10/2020,2.68,2.71,2.67,2.68,0.01,0.37,3149981
29/10/2020,2.69,2.7,2.655,2.67,-0.03,-1.11,2940154
28/10/2020,2.7,2.725,2.675,2.7,-0.02,-0.74,2022691
27/10/2020,2.73,2.74,2.72,2.72,-0.02,-0.73,3943744
26/10/2020,2.72,2.745,2.71,2.74,0.02,0.74,2730140
23/10/2020,2.72,2.73,2.69,2.72,0.01,0.37,1972880
22/10/2020,2.71,2.72,2.69,2.71,-0.02,-0.73,2610466
21/10/2020,2.71,2.73,2.7,2.73,0.02,0.74,3264932
20/10/2020,2.66,2.74,2.66,2.71,0.03,1.12,2385455
19/10/2020,2.71,2.71,2.66,2.68,-0.02,-0.74,2812603
16/10/2020,2.71,2.74,2.69,2.7,-0.01,-0.37,3294864
15/10/2020,2.73,2.75,2.71,2.71,-0.02,-0.73,3290788
14/10/2020,2.73,2.74,2.71,2.73,-0.01,-0.36,1824955
13/10/2020,2.74,2.75,2.725,2.74,0.02,0.74,2315986
12/10/2020,2.72,2.73,2.695,2.72,-0.01,-0.37,1563761
09/10/2020,2.74,2.755,2.72,2.73,-0.02,-0.73,2132778
08/10/2020,2.76,2.78,2.73,2.75,-0.03,-1.08,2438333
07/10/2020,2.8,2.805,2.76,2.78,0,0,2816913
06/10/2020,2.79,2.805,2.75,2.78,-0.02,-0.71,3712960
05/10/2020,2.75,2.805,2.74,2.8,0.06,2.19,1975196
02/10/2020,2.74,2.77,2.72,2.74,-0.01,-0.36,1773121
01/10/2020,2.71,2.77,2.71,2.75,0.04,1.48,3080504
30/09/2020,2.76,2.76,2.71,2.71,-0.07,-2.52,3027189
29/09/2020,2.79,2.8,2.76,2.78,0.02,0.72,2800772
28/09/2020,2.76,2.78,2.74,2.76,0.01,0.36,2393072
25/09/2020,2.73,2.755,2.73,2.75,0.02,0.73,3588654
24/09/2020,2.69,2.73,2.67,2.73,0.02,0.74,5401666
23/09/2020,2.7,2.71,2.67,2.71,0.04,1.5,4721681
22/09/2020,2.7,2.73,2.66,2.67,-0.04,-1.48,4344163
21/09/2020,2.7,2.73,2.68,2.71,-0.02,-0.73,4201392
18/09/2020,2.75,2.76,2.71,2.73,-0.01,-0.36,14874932
17/09/2020,2.75,2.76,2.72,2.74,0,0,3766182
16/09/2020,2.72,2.77,2.72,2.74,0.04,1.48,4951282
15/09/2020,2.67,2.71,2.66,2.7,0.03,1.12,3296318
14/09/2020,2.68,2.69,2.65,2.67,0.02,0.75,1937380
11/09/2020,2.64,2.67,2.64,2.65,-0.02,-0.75,1640090
10/09/2020,2.68,2.71,2.65,2.67,0,0,2650802
09/09/2020,2.66,2.69,2.65,2.67,-0.03,-1.11,3167209
08/09/2020,2.68,2.7,2.66,2.7,0.04,1.5,4448263
07/09/2020,2.65,2.69,2.62,2.66,-0.01,-0.37,2628766
04/09/2020,2.66,2.7,2.655,2.67,-0.04,-1.48,2293899
03/09/2020,2.72,2.72,2.68,2.71,0.02,0.74,1936745
02/09/2020,2.66,2.71,2.66,2.69,0.07,2.67,3308541
01/09/2020,2.65,2.66,2.61,2.62,-0.05,-1.87,6857699
31/08/2020,2.69,2.7,2.66,2.67,-0.02,-0.74,3255176
28/08/2020,2.66,2.71,2.66,2.69,0,0,4684438
27/08/2020,2.7,2.71,2.67,2.69,-0.02,-0.74,3673780
26/08/2020,2.7,2.72,2.665,2.71,0.01,0.37,1890651
25/08/2020,2.7,2.715,2.66,2.7,0.03,1.12,3680850
24/08/2020,2.69,2.705,2.65,2.67,-0.02,-0.74,9140878
21/08/2020,2.69,2.75,2.665,2.69,0.02,0.75,3942072
20/08/2020,2.65,2.71,2.635,2.67,0.02,0.75,7783498
19/08/2020,2.62,2.68,2.61,2.65,0.01,0.38,6246703
18/08/2020,2.62,2.65,2.59,2.64,0.04,1.54,5559236
17/08/2020,2.61,2.63,2.59,2.6,0,0,8310755
14/08/2020,2.53,2.62,2.51,2.6,0.09,3.59,7294096
13/08/2020,2.53,2.53,2.495,2.51,0.01,0.4,13481943
12/08/2020,2.5,2.53,2.47,2.5,0,0,6019360
11/08/2020,2.49,2.52,2.47,2.5,0.02,0.81,7323381
10/08/2020,2.49,2.51,2.48,2.48,0.04,1.64,4497060
07/08/2020,2.48,2.49,2.44,2.44,-0.04,-1.61,3819699
06/08/2020,2.5,2.53,2.47,2.48,-0.02,-0.8,5791157
05/08/2020,2.58,2.59,2.5,2.5,-0.07,-2.72,2973796
04/08/2020,2.55,2.57,2.53,2.57,0.04,1.58,5769345
03/08/2020,2.53,2.56,2.52,2.53,0,0,2363837
31/07/2020,2.55,2.59,2.51,2.53,-0.03,-1.17,5130217
30/07/2020,2.57,2.61,2.55,2.56,-0.03,-1.16,8956723
29/07/2020,2.61,2.63,2.58,2.59,-0.01,-0.38,3858162
28/07/2020,2.65,2.65,2.59,2.6,-0.13,-4.76,84252020
27/07/2020,2.72,2.77,2.7,2.73,0.01,0.37,3184212
24/07/2020,2.76,2.77,2.7,2.72,-0.03,-1.09,2376286
23/07/2020,2.72,2.76,2.7,2.75,0.02,0.73,2270293
22/07/2020,2.74,2.78,2.71,2.73,-0.01,-0.36,2862290
21/07/2020,2.74,2.75,2.655,2.74,0,0,6306278
20/07/2020,2.74,2.76,2.71,2.74,0.03,1.11,4614895
17/07/2020,2.67,2.72,2.63,2.71,0.08,3.04,4837277
16/07/2020,2.66,2.66,2.61,2.63,-0.02,-0.75,2878188
15/07/2020,2.63,2.65,2.605,2.65,0.03,1.15,3073809
14/07/2020,2.61,2.635,2.58,2.62,0,0,2938644
13/07/2020,2.59,2.63,2.57,2.62,0.07,2.75,3295803
10/07/2020,2.53,2.57,2.51,2.55,0.01,0.39,2160504
09/07/2020,2.56,2.59,2.54,2.54,-0.01,-0.39,2424281
08/07/2020,2.57,2.615,2.535,2.55,-0.03,-1.16,3434972
07/07/2020,2.64,2.665,2.57,2.58,-0.05,-1.9,2762559
06/07/2020,2.68,2.69,2.63,2.63,-0.03,-1.13,1406244
03/07/2020,2.69,2.71,2.63,2.66,-0.02,-0.75,2082898
02/07/2020,2.65,2.69,2.62,2.68,0.06,2.29,2852359
01/07/2020,2.63,2.67,2.59,2.62,0.02,0.77,2946048
30/06/2020,2.7,2.7,2.6,2.6,-0.07,-2.62,4831868
29/06/2020,2.68,2.7,2.63,2.67,-0.09,-3.26,2527938
26/06/2020,2.71,2.77,2.71,2.76,0.05,1.85,2125155
25/06/2020,2.74,2.77,2.7,2.71,-0.04,-1.45,2733549
24/06/2020,2.73,2.78,2.71,2.75,0.03,1.1,2494113
23/06/2020,2.72,2.76,2.64,2.72,0,0,2772950
22/06/2020,2.72,2.75,2.7,2.72,-0.04,-1.45,1912839
19/06/2020,2.72,2.79,2.7,2.76,0.05,1.85,4802821
18/06/2020,2.77,2.77,2.68,2.71,-0.06,-2.17,4254783
17/06/2020,2.75,2.78,2.73,2.77,0.05,1.84,4549939
16/06/2020,2.72,2.74,2.69,2.72,0.1,3.82,5286445
15/06/2020,2.66,2.7,2.62,2.62,-0.05,-1.87,3799915
12/06/2020,2.63,2.7,2.6,2.67,0.02,0.75,4268378
11/06/2020,2.68,2.685,2.615,2.65,-0.05,-1.85,3352529
10/06/2020,2.64,2.72,2.64,2.7,0.02,0.75,3571108
09/06/2020,2.63,2.69,2.63,2.68,0.09,3.47,5174824
05/06/2020,2.6,2.64,2.59,2.59,-0.03,-1.15,2158121
04/06/2020,2.65,2.66,2.58,2.62,-0.04,-1.5,4887853
03/06/2020,2.67,2.69,2.57,2.66,-0.01,-0.37,3520183
02/06/2020,2.58,2.69,2.58,2.67,0.05,1.91,3134298
01/06/2020,2.58,2.625,2.55,2.62,-0.03,-1.13,4039924
29/05/2020,2.63,2.65,2.6,2.65,0.01,0.38,3958585
28/05/2020,2.62,2.68,2.58,2.64,0.02,0.76,3336756
27/05/2020,2.6,2.64,2.53,2.62,0,0,5592285
26/05/2020,2.52,2.62,2.51,2.62,0.14,5.65,3751367
25/05/2020,2.56,2.56,2.47,2.48,-0.03,-1.2,4186404
22/05/2020,2.44,2.53,2.43,2.51,0.08,3.29,3620728
21/05/2020,2.44,2.47,2.41,2.43,0,0,5578206
20/05/2020,2.45,2.47,2.42,2.43,-0.06,-2.41,2737269
19/05/2020,2.58,2.58,2.46,2.49,-0.03,-1.19,3379631
18/05/2020,2.45,2.55,2.445,2.52,,,1300089
