Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,30.76,31.36,30.55,31.2,-0.08,-0.26,566810
29/01/2021,32.37,32.94,31.27,31.28,-0.63,-1.97,1783183
28/01/2021,32.54,33.35,31.77,31.91,-2.07,-6.09,592475
27/01/2021,33.36,34.45,32.91,33.98,0.19,0.56,828293
25/01/2021,32.88,33.83,32.05,33.79,0.59,1.78,353029
22/01/2021,32.86,33.52,32.7,33.2,0.41,1.25,785706
21/01/2021,31.9,32.99,31.25,32.79,1.61,5.16,602499
20/01/2021,29.99,31.76,29.79,31.18,1.43,4.81,1100160
19/01/2021,28.59,29.98,28.35,29.75,1.42,5.01,593151
18/01/2021,27.7,28.57,27.65,28.33,0.6,2.16,331329
15/01/2021,28.18,28.54,27.7,27.73,-0.72,-2.53,368955
14/01/2021,28.25,28.94,28.13,28.45,0.57,2.04,484212
13/01/2021,27.55,28.21,27.42,27.88,0.04,0.14,886686
12/01/2021,27.8,28.07,27.4,27.84,0.1,0.36,875356
11/01/2021,28,28.41,27.68,27.74,-0.73,-2.56,767085
08/01/2021,28.9,29.08,28.22,28.47,-0.12,-0.42,464019
07/01/2021,29.09,29.48,28.38,28.59,-0.32,-1.11,670544
06/01/2021,29.92,30.21,28.86,28.91,-1.11,-3.7,689532
05/01/2021,30.13,30.78,29.95,30.02,-0.5,-1.64,656045
04/01/2021,30.77,31,30.32,30.52,-0.23,-0.75,1419927
31/12/2020,30.85,31.37,30.7,30.75,-0.04,-0.13,319945
30/12/2020,30.73,31.235,30.63,30.79,-0.58,-1.85,448968
29/12/2020,31.22,31.37,31.02,31.37,0.01,0.03,487857
24/12/2020,31.49,31.64,31.11,31.36,0,0,196289
23/12/2020,31.21,31.6,31.02,31.36,0.83,2.72,503766
22/12/2020,30.06,30.725,29.93,30.53,-0.24,-0.78,747974
21/12/2020,30.98,31.2,29.58,30.77,-2.18,-6.62,1433267
18/12/2020,31.15,32.95,31.02,32.95,1.3,4.11,1410917
17/12/2020,30.34,31.94,30.34,31.65,1.31,4.32,1113092
16/12/2020,30,30.71,29.95,30.34,0.15,0.5,2661355
15/12/2020,30.88,31.23,30.1,30.19,-0.27,-0.89,908166
14/12/2020,30.51,30.76,29.93,30.46,0.05,0.16,816945
11/12/2020,30.36,30.88,30.19,30.41,0.01,0.03,427401
