Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
10/10/2019,0.14,0.14,0.13,0.13,-0.01,-7.14,2811715
11/10/2019,0.125,0.135,0.125,0.13,0,0,3041311
14/10/2019,0.13,0.135,0.13,0.13,0,0,1352354
15/10/2019,0.135,0.135,0.13,0.13,0,0,867327
16/10/2019,0.135,0.135,0.125,0.13,0,0,1101800
17/10/2019,0.13,0.135,0.125,0.125,-0.005,-3.85,3054796
18/10/2019,0.13,0.135,0.125,0.13,0.005,4,1568213
21/10/2019,0.125,0.13,0.125,0.125,-0.005,-3.85,681436
22/10/2019,0.125,0.125,0.12,0.12,-0.005,-4,1717918
23/10/2019,0.12,0.12,0.1,0.12,0,0,5815885
24/10/2019,0.115,0.125,0.115,0.125,0.005,4.17,1752709
25/10/2019,0.125,0.13,0.12,0.125,0,0,697438
28/10/2019,0.135,0.145,0.13,0.14,0.015,12,7831861
29/10/2019,0.14,0.145,0.13,0.13,-0.01,-7.14,3344535
30/10/2019,0.135,0.135,0.125,0.13,0,0,2963184
31/10/2019,0.135,0.135,0.12,0.13,0,0,5835406
01/11/2019,0.13,0.13,0.122,0.13,0,0,3108435
04/11/2019,0.13,0.13,0.125,0.13,0,0,1522975
05/11/2019,0.125,0.13,0.125,0.125,-0.005,-3.85,413456
06/11/2019,0.13,0.13,0.12,0.12,-0.005,-4,3563109
07/11/2019,0.12,0.12,0.115,0.115,-0.005,-4.17,2313186
08/11/2019,0.115,0.12,0.11,0.12,0.005,4.35,2598823
11/11/2019,0.115,0.1175,0.11,0.11,-0.01,-8.33,1692012
12/11/2019,0.115,0.12,0.115,0.115,0.005,4.55,2123048
13/11/2019,0.115,0.12,0.11,0.11,-0.005,-4.35,2882184
14/11/2019,0.12,0.12,0.11,0.115,0.005,4.55,1045767
15/11/2019,0.115,0.12,0.115,0.115,0,0,1239381
18/11/2019,0.115,0.12,0.11,0.11,-0.005,-4.35,853106
19/11/2019,0.115,0.12,0.115,0.115,0.005,4.55,1738931
20/11/2019,0.12,0.13,0.12,0.125,0.01,8.7,3320924
21/11/2019,0.13,0.1375,0.13,0.135,0.01,8,10284898
