Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,128.01,132.5,126.84,131.41,1.52,1.17,707079
29/01/2021,135.39,136.34,129.7,129.89,-2.12,-1.61,1207679
28/01/2021,137.69,139.18,131.1,132.01,-8.84,-6.28,698644
27/01/2021,139.62,146.5,138.62,140.85,3.42,2.49,1027228
25/01/2021,135.64,137.43,134.65,137.43,0.44,0.32,401228
22/01/2021,137.24,138.15,136.15,136.99,0.91,0.67,526660
21/01/2021,135.55,137.62,135.31,136.08,-0.19,-0.14,789700
20/01/2021,140,140.38,135.88,136.27,-1.39,-1.01,487253
19/01/2021,140,140,137.2,137.66,1,0.73,436928
18/01/2021,133.8,137.87,133.79,136.66,2.88,2.15,453592
15/01/2021,134.95,135.56,133.03,133.78,-2.08,-1.53,525360
14/01/2021,132.71,135.86,132.01,135.86,4.9,3.74,1379569
13/01/2021,132,132.75,128.7,130.96,-1.8,-1.36,782309
12/01/2021,131.84,133.79,130.1,132.76,-3.17,-2.33,807693
11/01/2021,141.53,142.3,135.1,135.93,-6.68,-4.68,864754
08/01/2021,141.92,143.1,141,142.61,2.08,1.48,463397
07/01/2021,145.85,145.94,140.08,140.53,-7.47,-5.05,819432
06/01/2021,150.81,154.7,147.1,148,-4.71,-3.08,450097
05/01/2021,148.84,153.1,148.75,152.71,4.25,2.86,493280
04/01/2021,148.88,149.3,147.55,148.46,1.64,1.12,408142
31/12/2020,149.48,149.545,146.82,146.82,0.15,0.1,192603
30/12/2020,145,147.03,145,146.67,1.04,0.71,290095
29/12/2020,146.62,147.29,145.06,145.63,-0.73,-0.5,467438
24/12/2020,145.62,146.68,144.52,146.36,-0.65,-0.44,200036
23/12/2020,150.17,150.81,145.55,147.01,-0.09,-0.06,648063
22/12/2020,145.39,148.1,145.39,147.1,0.24,0.16,588859
21/12/2020,148.5,152.44,146,146.86,-3.73,-2.48,952326
18/12/2020,155.09,157.99,150.59,150.59,-3.41,-2.21,3465959
17/12/2020,153.99,154,150.03,154,3.34,2.22,1525196
16/12/2020,147,152.32,146.62,150.66,3.19,2.16,1028998
15/12/2020,144.51,156.72,144.19,147.47,3.53,2.45,1437950
14/12/2020,142.4,145.58,141.33,143.94,2.61,1.85,566379
11/12/2020,138.81,142.46,138.68,141.33,1.82,1.3,507359
10/12/2020,139.58,141.6,138.69,139.51,-1.49,-1.06,856544
09/12/2020,141.68,144.06,140.37,141,0.76,0.54,718595
08/12/2020,139.6,141.51,139,140.24,1.81,1.31,979111
07/12/2020,137.85,138.62,135.91,138.43,5.53,4.16,796855
04/12/2020,133.5,135.39,131.14,132.9,0.9,0.68,611955
03/12/2020,133.8,134.1,131.18,132,1.34,1.03,771504
02/12/2020,133.52,133.8,128.75,130.66,-1.54,-1.16,2018386
01/12/2020,133.82,134.48,130.63,132.2,-0.3,-0.23,1097677
30/11/2020,136.43,138.19,132.44,132.5,-1.26,-0.94,13874935
27/11/2020,134.9,136.99,130.3,133.76,0.24,0.18,1753173
26/11/2020,128.03,134.83,126.49,133.52,3.58,2.76,1438267
25/11/2020,130.43,134.83,126.64,129.94,-5.92,-4.36,2568168
24/11/2020,133.33,136.94,131.78,135.86,5.14,3.93,1099015
23/11/2020,128.09,132.98,125.84,130.72,3.33,2.61,1004764
20/11/2020,125.02,129.04,123.68,127.39,3.23,2.6,813987
