Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,7.13,7.65,7.04,7.65,0.38,5.23,16760031
29/01/2021,7.5,7.71,7.21,7.27,-0.03,-0.41,14325292
28/01/2021,7.47,7.52,7.165,7.3,-0.46,-5.93,14924887
27/01/2021,7.35,7.79,7.3,7.76,0.34,4.58,16570950
25/01/2021,7.28,7.56,7.08,7.42,0.19,2.63,18502644
22/01/2021,7.9,8.48,7.04,7.23,-0.13,-1.77,46506928
21/01/2021,6.3,7.36,6.3,7.36,1.38,23.08,43962998
20/01/2021,5.92,6.13,5.88,5.98,0.1,1.7,11018097
19/01/2021,5.76,5.89,5.61,5.88,0.15,2.62,8011569
18/01/2021,5.61,5.98,5.6,5.73,0.12,2.14,13088286
15/01/2021,5.8,5.85,5.48,5.61,-0.11,-1.92,10497932
14/01/2021,5.47,5.77,5.46,5.72,0.27,4.95,9640397
13/01/2021,5.38,5.45,5.33,5.45,0.07,1.3,4744096
12/01/2021,5.4,5.55,5.37,5.38,0.01,0.19,5404861
11/01/2021,5.51,5.51,5.34,5.37,-0.17,-3.07,7655526
08/01/2021,5.29,5.57,5.28,5.54,0.33,6.33,11744427
07/01/2021,5.41,5.41,5.205,5.21,-0.15,-2.8,6490187
06/01/2021,5.36,5.475,5.31,5.36,0.05,0.94,7798828
05/01/2021,5.5,5.53,5.3,5.31,-0.28,-5.01,9339786
04/01/2021,5.3,5.59,5.29,5.59,0.3,5.67,8812955
31/12/2020,5.35,5.38,5.255,5.29,-0.08,-1.49,3923741
30/12/2020,5.37,5.37,5.25,5.37,-0.03,-0.56,5676023
29/12/2020,5.3,5.4,5.27,5.4,0.15,2.86,6838031
24/12/2020,5.18,5.3,5.15,5.25,0.12,2.34,7093449
23/12/2020,5.17,5.26,5.07,5.13,0.02,0.39,11352732
22/12/2020,5.16,5.2,4.96,5.11,-0.06,-1.16,17356040
21/12/2020,5.37,5.38,5.16,5.17,-0.27,-4.96,11270466
18/12/2020,5.61,5.62,5.33,5.44,-0.19,-3.37,14107126
17/12/2020,5.62,5.9,5.53,5.63,0.06,1.08,22298666
16/12/2020,5.32,5.63,5.26,5.57,0.35,6.7,11167882
